system:index,id,mode,.geo
0,2580,52.0,"{""type"":""Point"",""coordinates"":[-121.84002515566665,37.66599621018311]}"
1,2581,23.0,"{""type"":""Point"",""coordinates"":[-121.80653519477899,37.644370606820374]}"
2,2582,24.0,"{""type"":""Point"",""coordinates"":[-121.78187590528715,37.660879828287584]}"
3,2583,71.0,"{""type"":""Point"",""coordinates"":[-121.78037002646195,37.639236786574756]}"
4,2584,22.0,"{""type"":""Point"",""coordinates"":[-121.75341286485563,37.69218146020661]}"
5,2585,71.0,"{""type"":""Point"",""coordinates"":[-121.70157801420945,37.72374839894706]}"
6,2586,23.0,"{""type"":""Point"",""coordinates"":[-121.71623489070576,37.71118046797431]}"
7,2587,71.0,"{""type"":""Point"",""coordinates"":[-121.68101356766743,37.75889754155617]}"
8,2588,71.0,"{""type"":""Point"",""coordinates"":[-121.69465295557673,37.72802867929454]}"
9,2589,21.0,"{""type"":""Point"",""coordinates"":[-121.68843211318456,37.730039311832385]}"
10,2590,71.0,"{""type"":""Point"",""coordinates"":[-121.66786599403453,37.74549441988033]}"
11,2591,71.0,"{""type"":""Point"",""coordinates"":[-121.64068844326782,37.77634445821496]}"
12,2592,71.0,"{""type"":""Point"",""coordinates"":[-121.62938045837069,37.7782742380323]}"
13,2593,22.0,"{""type"":""Point"",""coordinates"":[-121.62045446059541,37.79981916054975]}"
14,2594,71.0,"{""type"":""Point"",""coordinates"":[-121.65556755926951,37.74769866833834]}"
15,2595,71.0,"{""type"":""Point"",""coordinates"":[-121.65675032525245,37.750536009733736]}"
16,2596,71.0,"{""type"":""Point"",""coordinates"":[-121.53914591628302,37.658321933737305]}"
17,2597,71.0,"{""type"":""Point"",""coordinates"":[-121.54276455444547,37.665984787890885]}"
18,2598,71.0,"{""type"":""Point"",""coordinates"":[-121.54352868086038,37.672467225007956]}"
19,2599,71.0,"{""type"":""Point"",""coordinates"":[-121.5533471260778,37.68171229403114]}"
20,2600,71.0,"{""type"":""Point"",""coordinates"":[-121.61060443619999,37.699115350289816]}"
21,2601,22.0,"{""type"":""Point"",""coordinates"":[-122.19350688498726,37.88553115586496]}"
22,2602,22.0,"{""type"":""Point"",""coordinates"":[-122.09976380312595,37.40894080511173]}"
23,2603,23.0,"{""type"":""Point"",""coordinates"":[-122.11391994279023,37.377736440999996]}"
24,2604,22.0,"{""type"":""Point"",""coordinates"":[-122.07913764495638,37.34514858336073]}"
25,2605,23.0,"{""type"":""Point"",""coordinates"":[-122.05356812981137,37.33296185855741]}"
26,2606,23.0,"{""type"":""Point"",""coordinates"":[-122.03194979288295,37.33394637326143]}"
27,2607,21.0,"{""type"":""Point"",""coordinates"":[-122.04627210692833,37.30040985006167]}"
28,2608,71.0,"{""type"":""Point"",""coordinates"":[-122.08870723636602,37.32074117358112]}"
29,2609,42.0,"{""type"":""Point"",""coordinates"":[-122.13369188123583,37.23146410437111]}"
30,2610,52.0,"{""type"":""Point"",""coordinates"":[-122.083158760705,37.31866726105073]}"
31,2611,23.0,"{""type"":""Point"",""coordinates"":[-122.09016330080986,37.31418049992896]}"
32,2612,52.0,"{""type"":""Point"",""coordinates"":[-122.08974869342953,37.31063523021969]}"
33,2613,71.0,"{""type"":""Point"",""coordinates"":[-122.15808852019357,37.113060505111726]}"
34,2614,71.0,"{""type"":""Point"",""coordinates"":[-122.17087960325061,37.06285396036617]}"
35,2615,43.0,"{""type"":""Point"",""coordinates"":[-122.15708275229655,37.06140084347151]}"
36,2616,71.0,"{""type"":""Point"",""coordinates"":[-122.17159581425258,37.02842888787103]}"
37,2617,52.0,"{""type"":""Point"",""coordinates"":[-122.19412909263148,37.02390958470987]}"
38,2618,23.0,"{""type"":""Point"",""coordinates"":[-122.00406236452106,37.25032881746077]}"
39,2619,22.0,"{""type"":""Point"",""coordinates"":[-121.93836205109618,37.23877593298871]}"
40,2620,23.0,"{""type"":""Point"",""coordinates"":[-121.90453384983306,37.252798303050696]}"
41,2621,24.0,"{""type"":""Point"",""coordinates"":[-121.86385809991808,37.27876754179584]}"
42,2622,24.0,"{""type"":""Point"",""coordinates"":[-121.91126466446083,37.34203354168302]}"
43,2623,21.0,"{""type"":""Point"",""coordinates"":[-121.90801481296177,37.3438889899289]}"
44,2624,23.0,"{""type"":""Point"",""coordinates"":[-121.9094976962115,37.31417251987021]}"
