system:index,id,mode,.geo
0,3083,22.0,"{""type"":""Point"",""coordinates"":[-122.11943146878527,39.11272895729852]}"
1,3084,23.0,"{""type"":""Point"",""coordinates"":[-121.6882312726005,39.40875357308616]}"
2,3085,22.0,"{""type"":""Point"",""coordinates"":[-121.68573867281864,39.377964936451036]}"
3,3086,82.0,"{""type"":""Point"",""coordinates"":[-121.68644797030419,39.37802856446213]}"
4,3087,23.0,"{""type"":""Point"",""coordinates"":[-121.57548576320671,39.4750219251039]}"
5,3088,24.0,"{""type"":""Point"",""coordinates"":[-121.51680501177607,39.454221748161544]}"
6,3089,82.0,"{""type"":""Point"",""coordinates"":[-121.69087253715381,39.0525234450117]}"
7,3090,82.0,"{""type"":""Point"",""coordinates"":[-121.6673369154041,38.97205204091405]}"
8,3091,23.0,"{""type"":""Point"",""coordinates"":[-121.54712750821871,39.05144586715509]}"
9,3092,23.0,"{""type"":""Point"",""coordinates"":[-121.61615330101985,39.10264036206535]}"
10,3093,42.0,"{""type"":""Point"",""coordinates"":[-121.18987975894339,39.33062287135921]}"
11,3094,52.0,"{""type"":""Point"",""coordinates"":[-121.19002940835338,39.33076749838296]}"
12,3095,31.0,"{""type"":""Point"",""coordinates"":[-121.42868233639562,39.19896845715879]}"
13,3096,71.0,"{""type"":""Point"",""coordinates"":[-121.30271252162369,39.209025031755345]}"
14,3097,52.0,"{""type"":""Point"",""coordinates"":[-121.2704547231518,39.23559305960194]}"
15,3098,71.0,"{""type"":""Point"",""coordinates"":[-121.27147165228375,39.23768926759385]}"
16,3099,52.0,"{""type"":""Point"",""coordinates"":[-121.33259405109908,39.04039708966198]}"
17,3100,42.0,"{""type"":""Point"",""coordinates"":[-120.65007093906368,39.332242667973894]}"
18,3101,23.0,"{""type"":""Point"",""coordinates"":[-120.89118510649139,39.17840584511791]}"
19,3102,42.0,"{""type"":""Point"",""coordinates"":[-120.94621934121449,39.11978068947828]}"
20,3103,24.0,"{""type"":""Point"",""coordinates"":[-120.59641040921096,39.02444333622725]}"
21,3104,52.0,"{""type"":""Point"",""coordinates"":[-120.37845099676603,39.319374032627046]}"
22,3105,90.0,"{""type"":""Point"",""coordinates"":[-122.58687522159623,38.92650171348538]}"
23,3106,52.0,"{""type"":""Point"",""coordinates"":[-122.81045357131724,38.828699696504856]}"
24,3107,43.0,"{""type"":""Point"",""coordinates"":[-122.77603158079198,38.83050046936831]}"
25,3108,52.0,"{""type"":""Point"",""coordinates"":[-122.80119401315132,38.82662847758024]}"
26,3109,82.0,"{""type"":""Point"",""coordinates"":[-121.70593505841559,38.59119837117299]}"
27,3110,23.0,"{""type"":""Point"",""coordinates"":[-121.56527618782572,38.56622798474489]}"
28,3111,22.0,"{""type"":""Point"",""coordinates"":[-121.3330240163573,38.838828784132446]}"
29,3112,21.0,"{""type"":""Point"",""coordinates"":[-121.30756600808333,38.82274023777923]}"
30,3113,21.0,"{""type"":""Point"",""coordinates"":[-121.21893411904252,38.79951937103277]}"
31,3114,71.0,"{""type"":""Point"",""coordinates"":[-121.08892435111727,38.90600751819077]}"
32,3115,22.0,"{""type"":""Point"",""coordinates"":[-121.4237126614436,38.60138244314099]}"
33,3116,24.0,"{""type"":""Point"",""coordinates"":[-121.4712553916173,38.51105506974855]}"
34,3117,22.0,"{""type"":""Point"",""coordinates"":[-121.38751022256082,38.53309313884803]}"
35,3118,22.0,"{""type"":""Point"",""coordinates"":[-120.6773495343884,38.7399382798012]}"
36,3119,23.0,"{""type"":""Point"",""coordinates"":[-120.96548752191804,38.653058560417186]}"
37,3120,42.0,"{""type"":""Point"",""coordinates"":[-120.44347161943863,38.864054981427984]}"
38,3122,24.0,"{""type"":""Point"",""coordinates"":[-122.6575566423703,38.26595711208229]}"
39,3123,22.0,"{""type"":""Point"",""coordinates"":[-122.52561070710546,38.07833144385114]}"
40,3124,71.0,"{""type"":""Point"",""coordinates"":[-122.15672756090868,38.19850283160048]}"
41,3125,23.0,"{""type"":""Point"",""coordinates"":[-122.24540155211771,38.09782603880356]}"
