system:index,id,mode,.geo
0,1074,22.0,"{""type"":""Point"",""coordinates"":[-122.75496485153859,38.49666314463044]}"
1,1075,42.0,"{""type"":""Point"",""coordinates"":[-122.88230067905126,38.822455983288606]}"
2,1076,42.0,"{""type"":""Point"",""coordinates"":[-122.81094891589248,38.822899163807314]}"
3,1077,43.0,"{""type"":""Point"",""coordinates"":[-122.89934118658323,38.80408140777161]}"
4,1078,52.0,"{""type"":""Point"",""coordinates"":[-122.80614273120884,38.81567264291192]}"
5,1079,71.0,"{""type"":""Point"",""coordinates"":[-122.8119613405036,38.81175679721767]}"
6,1080,52.0,"{""type"":""Point"",""coordinates"":[-122.81476950194694,38.805718016854144]}"
7,1081,21.0,"{""type"":""Point"",""coordinates"":[-122.92003506382734,39.15090187515228]}"
8,1082,52.0,"{""type"":""Point"",""coordinates"":[-122.66180581042576,39.028109946915684]}"
9,1083,52.0,"{""type"":""Point"",""coordinates"":[-122.44172938393034,39.05250570978313]}"
10,1084,71.0,"{""type"":""Point"",""coordinates"":[-122.61031848079065,38.97462130468029]}"
11,1085,52.0,"{""type"":""Point"",""coordinates"":[-122.61012704635155,38.97450035331986]}"
12,1086,22.0,"{""type"":""Point"",""coordinates"":[-122.61197308999473,38.923039413109414]}"
13,1087,22.0,"{""type"":""Point"",""coordinates"":[-122.61222451468616,38.92278338410418]}"
14,1088,42.0,"{""type"":""Point"",""coordinates"":[-122.71735487018367,38.874935421487265]}"
15,1089,71.0,"{""type"":""Point"",""coordinates"":[-122.52867816872515,38.89144029125494]}"
16,1090,71.0,"{""type"":""Point"",""coordinates"":[-122.40100159280894,38.85665294390952]}"
17,1091,71.0,"{""type"":""Point"",""coordinates"":[-122.43334537075458,38.874375883088774]}"
18,1092,52.0,"{""type"":""Point"",""coordinates"":[-122.80311779919926,38.823609336827104]}"
19,1093,82.0,"{""type"":""Point"",""coordinates"":[-120.94424888589863,37.89436737596441]}"
20,1094,71.0,"{""type"":""Point"",""coordinates"":[-121.52449531695322,37.70643597310762]}"
21,1095,81.0,"{""type"":""Point"",""coordinates"":[-122.26848720761248,40.3899093089924]}"
22,1096,71.0,"{""type"":""Point"",""coordinates"":[-122.2621285988504,40.23226760763251]}"
23,1097,95.0,"{""type"":""Point"",""coordinates"":[-122.26880624414817,40.37978303744873]}"
24,1098,71.0,"{""type"":""Point"",""coordinates"":[-121.31103581504323,39.55992032815864]}"
25,1099,42.0,"{""type"":""Point"",""coordinates"":[-120.35571187215024,38.47682166326948]}"
26,1100,82.0,"{""type"":""Point"",""coordinates"":[-121.18379654554909,37.56389360229607]}"
27,1101,82.0,"{""type"":""Point"",""coordinates"":[-121.14205482510438,37.43066786513117]}"
28,1102,82.0,"{""type"":""Point"",""coordinates"":[-120.87779836101375,37.755767126061755]}"
29,1103,82.0,"{""type"":""Point"",""coordinates"":[-121.38871036954212,38.08796531168565]}"
30,1104,82.0,"{""type"":""Point"",""coordinates"":[-121.38858213288296,38.08784908726618]}"
31,1105,82.0,"{""type"":""Point"",""coordinates"":[-121.38855963385652,38.08772314633078]}"
32,1106,71.0,"{""type"":""Point"",""coordinates"":[-120.74624258076702,37.863962144823006]}"
33,1107,52.0,"{""type"":""Point"",""coordinates"":[-120.5873859878932,37.959385270668]}"
34,1108,52.0,"{""type"":""Point"",""coordinates"":[-120.52786437970951,37.94599171237183]}"
35,1109,52.0,"{""type"":""Point"",""coordinates"":[-120.49071749699095,37.91342293985633]}"
36,1110,42.0,"{""type"":""Point"",""coordinates"":[-123.99370612672861,40.76563011322078]}"
37,1111,42.0,"{""type"":""Point"",""coordinates"":[-123.92150123297365,40.653607341964076]}"
38,1112,42.0,"{""type"":""Point"",""coordinates"":[-124.15629047229217,40.75488552336127]}"
39,1113,71.0,"{""type"":""Point"",""coordinates"":[-123.41120562241764,40.394158574872826]}"
40,1114,71.0,"{""type"":""Point"",""coordinates"":[-122.65827241648996,40.37949186094984]}"
41,1115,21.0,"{""type"":""Point"",""coordinates"":[-123.84294159205004,40.78962999638803]}"
42,1116,21.0,"{""type"":""Point"",""coordinates"":[-121.69870514583592,37.000722881294315]}"
