system:index,id,mode,.geo
0,1574,52.0,"{""type"":""Point"",""coordinates"":[-121.87656802169413,37.564210485920334]}"
1,1575,52.0,"{""type"":""Point"",""coordinates"":[-121.87577023411296,37.5633056366728]}"
2,1576,95.0,"{""type"":""Point"",""coordinates"":[-121.98548982711048,37.50192917152784]}"
3,1577,22.0,"{""type"":""Point"",""coordinates"":[-121.76156526697298,37.64932768247163]}"
4,1578,71.0,"{""type"":""Point"",""coordinates"":[-121.82178458879376,37.60827889311721]}"
5,1579,71.0,"{""type"":""Point"",""coordinates"":[-121.82183177289392,37.60832767131248]}"
6,1580,43.0,"{""type"":""Point"",""coordinates"":[-121.86234698112307,37.577484274040664]}"
7,1581,71.0,"{""type"":""Point"",""coordinates"":[-121.89594102541875,37.54297241728357]}"
8,1582,71.0,"{""type"":""Point"",""coordinates"":[-121.89600878611644,37.543008584862534]}"
9,1583,21.0,"{""type"":""Point"",""coordinates"":[-121.93895345800595,37.519876163507384]}"
10,1584,23.0,"{""type"":""Point"",""coordinates"":[-120.40843149664285,37.294324322359074]}"
11,1585,23.0,"{""type"":""Point"",""coordinates"":[-120.40841606807712,37.294390727575106]}"
12,1586,23.0,"{""type"":""Point"",""coordinates"":[-120.44940601914499,37.331410200071886]}"
13,1587,22.0,"{""type"":""Point"",""coordinates"":[-119.77678423790084,35.7825657444283]}"
14,1588,71.0,"{""type"":""Point"",""coordinates"":[-119.80825319293109,35.834839406960036]}"
15,1589,82.0,"{""type"":""Point"",""coordinates"":[-119.85944733221588,35.802506853781075]}"
16,1590,82.0,"{""type"":""Point"",""coordinates"":[-120.12403520951348,36.14111538777047]}"
17,1591,71.0,"{""type"":""Point"",""coordinates"":[-121.0176030298867,37.05376003551362]}"
18,1592,71.0,"{""type"":""Point"",""coordinates"":[-121.01690825721053,37.05340462854028]}"
19,1593,71.0,"{""type"":""Point"",""coordinates"":[-121.01688501461628,37.052444852864]}"
20,1594,71.0,"{""type"":""Point"",""coordinates"":[-121.01694780581956,37.05240283396548]}"
21,1595,71.0,"{""type"":""Point"",""coordinates"":[-120.84609301734223,36.91842711329517]}"
22,1596,82.0,"{""type"":""Point"",""coordinates"":[-120.68865512044712,36.76729916855642]}"
23,1597,82.0,"{""type"":""Point"",""coordinates"":[-120.63476897974303,36.70868781584211]}"
24,1598,82.0,"{""type"":""Point"",""coordinates"":[-120.58376679835933,36.653559180142835]}"
25,1599,71.0,"{""type"":""Point"",""coordinates"":[-120.84851511039702,36.920835442657896]}"
26,1600,82.0,"{""type"":""Point"",""coordinates"":[-120.69067148721412,36.76994827828986]}"
27,1601,82.0,"{""type"":""Point"",""coordinates"":[-120.69074196633849,36.7699063879234]}"
28,1602,82.0,"{""type"":""Point"",""coordinates"":[-120.63635616520388,36.7107587496531]}"
29,1603,71.0,"{""type"":""Point"",""coordinates"":[-121.51622964382703,37.685328963419664]}"
30,1604,71.0,"{""type"":""Point"",""coordinates"":[-121.46542382304911,37.65541881917215]}"
31,1605,71.0,"{""type"":""Point"",""coordinates"":[-121.46547251215416,37.65536955996195]}"
32,1606,71.0,"{""type"":""Point"",""coordinates"":[-121.42931602346255,37.63328333726267]}"
33,1607,71.0,"{""type"":""Point"",""coordinates"":[-121.39255140956635,37.611614293606436]}"
34,1608,71.0,"{""type"":""Point"",""coordinates"":[-121.3926025446539,37.61155745365056]}"
35,1609,71.0,"{""type"":""Point"",""coordinates"":[-121.30578161121083,37.558170955297314]}"
36,1610,71.0,"{""type"":""Point"",""coordinates"":[-121.22525980707513,37.49826330321183]}"
37,1611,71.0,"{""type"":""Point"",""coordinates"":[-121.2253230012228,37.49821547612311]}"
38,1612,71.0,"{""type"":""Point"",""coordinates"":[-121.20211260204897,37.463433335329796]}"
39,1613,71.0,"{""type"":""Point"",""coordinates"":[-121.18244815949363,37.42639603696592]}"
40,1614,71.0,"{""type"":""Point"",""coordinates"":[-121.1825326112519,37.426369565652585]}"
41,1615,71.0,"{""type"":""Point"",""coordinates"":[-121.13436114056998,37.29823759160203]}"
42,1616,71.0,"{""type"":""Point"",""coordinates"":[-121.0910547705802,37.16940949224873]}"
43,1617,71.0,"{""type"":""Point"",""coordinates"":[-121.09114796901866,37.16939096079366]}"
44,1618,71.0,"{""type"":""Point"",""coordinates"":[-121.05270897469927,37.10844524074672]}"
45,1619,71.0,"{""type"":""Point"",""coordinates"":[-120.72125982998217,35.27678273322424]}"
46,1620,52.0,"{""type"":""Point"",""coordinates"":[-120.58992196027312,35.16999401488993]}"
47,1621,52.0,"{""type"":""Point"",""coordinates"":[-120.59007996975322,35.169924615045396]}"
48,1622,52.0,"{""type"":""Point"",""coordinates"":[-120.50817340573508,35.093219240825015]}"
49,1623,82.0,"{""type"":""Point"",""coordinates"":[-119.4621498901927,35.39544739022842]}"
50,1624,82.0,"{""type"":""Point"",""coordinates"":[-119.45054878677186,35.400703071068]}"
51,1625,82.0,"{""type"":""Point"",""coordinates"":[-119.45046956729755,35.400682509882984]}"
52,1626,82.0,"{""type"":""Point"",""coordinates"":[-119.45192623656611,35.4060871980474]}"
53,1627,82.0,"{""type"":""Point"",""coordinates"":[-119.45220954376356,35.405014021739646]}"
54,1628,22.0,"{""type"":""Point"",""coordinates"":[-119.09587079305078,35.347978387093434]}"
55,1629,23.0,"{""type"":""Point"",""coordinates"":[-119.09641819638074,35.317556463573524]}"
56,1630,23.0,"{""type"":""Point"",""coordinates"":[-119.09648521721665,35.31756282484415]}"
57,1631,22.0,"{""type"":""Point"",""coordinates"":[-119.09836688918185,35.38099672524154]}"
58,1632,23.0,"{""type"":""Point"",""coordinates"":[-119.06841104692232,35.31702769814171]}"
59,1633,23.0,"{""type"":""Point"",""coordinates"":[-119.09277352383059,35.341667309092685]}"
60,1634,23.0,"{""type"":""Point"",""coordinates"":[-121.76165271367859,38.001936360380256]}"
61,1635,71.0,"{""type"":""Point"",""coordinates"":[-121.58959978817332,39.54669803051725]}"
62,1636,71.0,"{""type"":""Point"",""coordinates"":[-121.53468679881384,39.54516685945026]}"
63,1637,71.0,"{""type"":""Point"",""coordinates"":[-121.61732729832882,39.54888444422587]}"
64,1638,31.0,"{""type"":""Point"",""coordinates"":[-121.54178683933348,39.04987539078553]}"
65,1639,82.0,"{""type"":""Point"",""coordinates"":[-121.61834362930425,39.17585007869978]}"
66,1640,82.0,"{""type"":""Point"",""coordinates"":[-121.57101249799945,39.181174204216745]}"
67,1641,82.0,"{""type"":""Point"",""coordinates"":[-121.56998675027418,39.18130174430941]}"
68,1642,21.0,"{""type"":""Point"",""coordinates"":[-121.54936761639698,39.1380391542986]}"
69,1643,82.0,"{""type"":""Point"",""coordinates"":[-121.57083330002104,39.181076708929204]}"
70,1644,23.0,"{""type"":""Point"",""coordinates"":[-121.54269079610995,39.09234452539752]}"
71,1645,22.0,"{""type"":""Point"",""coordinates"":[-121.54239101789541,39.092245448663185]}"
72,1646,82.0,"{""type"":""Point"",""coordinates"":[-121.53765360605813,39.00479052316906]}"
73,1647,82.0,"{""type"":""Point"",""coordinates"":[-121.57439327457725,39.24255570852357]}"
74,1648,82.0,"{""type"":""Point"",""coordinates"":[-121.5744238454923,39.24465893930592]}"
75,1649,24.0,"{""type"":""Point"",""coordinates"":[-121.35369138075417,38.372794957818506]}"
76,1650,82.0,"{""type"":""Point"",""coordinates"":[-121.36942044134754,38.234607559036576]}"
77,1651,82.0,"{""type"":""Point"",""coordinates"":[-121.36950414254804,38.23462229586503]}"
78,1652,82.0,"{""type"":""Point"",""coordinates"":[-121.37936908093599,38.19953779037474]}"
79,1653,82.0,"{""type"":""Point"",""coordinates"":[-121.38885941752291,38.1639467630865]}"
80,1654,82.0,"{""type"":""Point"",""coordinates"":[-121.38894691385764,38.16396082373365]}"
81,1655,82.0,"{""type"":""Point"",""coordinates"":[-121.4374162488192,37.9314637348742]}"
82,1656,23.0,"{""type"":""Point"",""coordinates"":[-121.36272595529995,37.986848913203204]}"
83,1657,24.0,"{""type"":""Point"",""coordinates"":[-121.3498198140161,37.99164882790761]}"
84,1658,22.0,"{""type"":""Point"",""coordinates"":[-121.37731109312479,38.05932855261569]}"
85,1659,82.0,"{""type"":""Point"",""coordinates"":[-121.37768302226127,38.05957392887724]}"
86,1660,21.0,"{""type"":""Point"",""coordinates"":[-121.377178934001,38.059397749924806]}"
87,1661,21.0,"{""type"":""Point"",""coordinates"":[-121.37702986224068,38.05940494672653]}"
88,1662,82.0,"{""type"":""Point"",""coordinates"":[-121.37690139407952,38.05952600356778]}"
89,1663,21.0,"{""type"":""Point"",""coordinates"":[-121.1352258029653,38.65646713977015]}"
90,1664,71.0,"{""type"":""Point"",""coordinates"":[-122.58031510357765,38.25191943548578]}"
91,1665,23.0,"{""type"":""Point"",""coordinates"":[-122.5801222365502,38.25148678377688]}"
92,1666,71.0,"{""type"":""Point"",""coordinates"":[-122.58043212950805,38.251844303917714]}"
93,1667,21.0,"{""type"":""Point"",""coordinates"":[-122.57998311041976,38.251626926484896]}"
94,1668,22.0,"{""type"":""Point"",""coordinates"":[-122.58116256380262,38.25205980369076]}"
95,1669,71.0,"{""type"":""Point"",""coordinates"":[-122.58106476915842,38.252236809154105]}"
96,1670,71.0,"{""type"":""Point"",""coordinates"":[-122.5905408147538,38.325047002490315]}"
97,1671,42.0,"{""type"":""Point"",""coordinates"":[-122.59010808690599,38.324856285947305]}"
98,1672,42.0,"{""type"":""Point"",""coordinates"":[-122.59141713427431,38.41338509826907]}"
99,1673,71.0,"{""type"":""Point"",""coordinates"":[-122.64681722471263,38.482954127478095]}"
100,1674,42.0,"{""type"":""Point"",""coordinates"":[-122.59482849183696,38.426939077514106]}"
101,1675,22.0,"{""type"":""Point"",""coordinates"":[-122.59367450940705,38.42842318123006]}"
102,1676,22.0,"{""type"":""Point"",""coordinates"":[-122.75942922788661,38.499013868442496]}"
103,1677,71.0,"{""type"":""Point"",""coordinates"":[-122.580010713094,38.25173073555784]}"
104,1678,71.0,"{""type"":""Point"",""coordinates"":[-122.58027508341551,38.25203925278457]}"
105,1679,21.0,"{""type"":""Point"",""coordinates"":[-121.76240184097834,38.01341602186716]}"
106,1680,71.0,"{""type"":""Point"",""coordinates"":[-121.56785096551972,37.711799473258075]}"
107,1681,71.0,"{""type"":""Point"",""coordinates"":[-121.56778534305045,37.71197974205224]}"
108,1682,71.0,"{""type"":""Point"",""coordinates"":[-121.56772122849583,37.712243171398356]}"
109,1683,71.0,"{""type"":""Point"",""coordinates"":[-121.90171653065974,37.99483777135221]}"
110,1684,52.0,"{""type"":""Point"",""coordinates"":[-121.8728304059808,37.95450005296099]}"
111,1685,52.0,"{""type"":""Point"",""coordinates"":[-121.872880511669,37.954448412259474]}"
112,1686,52.0,"{""type"":""Point"",""coordinates"":[-121.83535028741743,37.933847359179566]}"
113,1687,71.0,"{""type"":""Point"",""coordinates"":[-121.79366393289726,37.9165044557686]}"
114,1688,71.0,"{""type"":""Point"",""coordinates"":[-121.79370178997699,37.916441666537175]}"
115,1689,52.0,"{""type"":""Point"",""coordinates"":[-121.76732210057804,37.906685662555624]}"
116,1690,71.0,"{""type"":""Point"",""coordinates"":[-121.74152336730033,37.89742283821839]}"
117,1691,71.0,"{""type"":""Point"",""coordinates"":[-121.7415770178473,37.89734340549647]}"
118,1692,21.0,"{""type"":""Point"",""coordinates"":[-121.69642722592636,37.86214151765738]}"
119,1693,71.0,"{""type"":""Point"",""coordinates"":[-121.65916586803591,37.81973014319572]}"
120,1694,71.0,"{""type"":""Point"",""coordinates"":[-121.65923467143536,37.819695395539]}"
121,1695,71.0,"{""type"":""Point"",""coordinates"":[-121.61286232459254,37.76476566534997]}"
122,1696,22.0,"{""type"":""Point"",""coordinates"":[-121.93917245862293,37.74294482867447]}"
123,1697,21.0,"{""type"":""Point"",""coordinates"":[-121.93855444631888,37.743089963264666]}"
124,1698,23.0,"{""type"":""Point"",""coordinates"":[-121.95416678643161,37.76305197425548]}"
125,1699,22.0,"{""type"":""Point"",""coordinates"":[-121.9239103886631,37.52714327976513]}"
126,1700,23.0,"{""type"":""Point"",""coordinates"":[-121.87599454433834,37.566373293077376]}"
127,1701,43.0,"{""type"":""Point"",""coordinates"":[-121.96115814082752,37.61975020105888]}"
128,1702,21.0,"{""type"":""Point"",""coordinates"":[-122.08029878402861,37.650461121851954]}"
129,1703,52.0,"{""type"":""Point"",""coordinates"":[-122.04187661369485,37.67744831796267]}"
130,1704,21.0,"{""type"":""Point"",""coordinates"":[-122.04153836101318,37.68636379642551]}"
131,1705,21.0,"{""type"":""Point"",""coordinates"":[-122.03624547778949,37.680051300573126]}"
132,1706,23.0,"{""type"":""Point"",""coordinates"":[-122.06060354417136,37.691648673231356]}"
133,1707,23.0,"{""type"":""Point"",""coordinates"":[-122.06050984641134,37.691581618383886]}"
134,1708,21.0,"{""type"":""Point"",""coordinates"":[-122.04264868878116,37.693372344851426]}"
135,1709,22.0,"{""type"":""Point"",""coordinates"":[-122.04306470927878,37.693258034409254]}"
136,1710,21.0,"{""type"":""Point"",""coordinates"":[-122.04267444395202,37.693349692027375]}"
137,1711,21.0,"{""type"":""Point"",""coordinates"":[-122.04262439219377,37.69319817560043]}"
138,1712,21.0,"{""type"":""Point"",""coordinates"":[-122.04264866724412,37.69321317271607]}"
139,1713,21.0,"{""type"":""Point"",""coordinates"":[-122.05183900700935,37.69231859633438]}"
140,1714,43.0,"{""type"":""Point"",""coordinates"":[-122.09462242537765,37.782570772834795]}"
141,1715,23.0,"{""type"":""Point"",""coordinates"":[-121.93472296785052,37.7444351365412]}"
142,1716,43.0,"{""type"":""Point"",""coordinates"":[-121.9891101268573,37.71083548473381]}"
143,1717,23.0,"{""type"":""Point"",""coordinates"":[-121.93497172344998,37.745473881104424]}"
144,1718,52.0,"{""type"":""Point"",""coordinates"":[-121.87184001955583,37.89813039480021]}"
145,1719,23.0,"{""type"":""Point"",""coordinates"":[-121.93536442010323,37.743463014783515]}"
146,1720,23.0,"{""type"":""Point"",""coordinates"":[-121.9354160433894,37.74353721441799]}"
147,1721,43.0,"{""type"":""Point"",""coordinates"":[-121.99052654085982,37.70963076080893]}"
148,1722,71.0,"{""type"":""Point"",""coordinates"":[-121.8983550548331,37.85293789310742]}"
149,1723,24.0,"{""type"":""Point"",""coordinates"":[-121.93739550894075,37.74459810422208]}"
150,1724,42.0,"{""type"":""Point"",""coordinates"":[-122.2967200998368,37.42416392412461]}"
151,1725,43.0,"{""type"":""Point"",""coordinates"":[-122.19354344167134,37.33988048672611]}"
152,1726,42.0,"{""type"":""Point"",""coordinates"":[-122.28878106549183,37.387822230738365]}"
153,1727,22.0,"{""type"":""Point"",""coordinates"":[-122.24958588816287,37.40272868081022]}"
154,1728,21.0,"{""type"":""Point"",""coordinates"":[-122.20686207742028,37.41496522226802]}"
155,1729,21.0,"{""type"":""Point"",""coordinates"":[-122.20672468073208,37.41493256517568]}"
156,1730,21.0,"{""type"":""Point"",""coordinates"":[-122.20675251223486,37.41497310244553]}"
157,1731,71.0,"{""type"":""Point"",""coordinates"":[-122.02972873975344,38.328645624927084]}"
158,1732,22.0,"{""type"":""Point"",""coordinates"":[-122.11270811355955,38.215321137168246]}"
159,1733,52.0,"{""type"":""Point"",""coordinates"":[-122.16609242609351,38.14381985716265]}"
160,1734,11.0,"{""type"":""Point"",""coordinates"":[-122.38107164830285,38.15265563797722]}"
161,1735,11.0,"{""type"":""Point"",""coordinates"":[-122.38105480422469,38.15266995275709]}"
162,1736,11.0,"{""type"":""Point"",""coordinates"":[-122.4672978588846,38.124849493158464]}"
163,1737,95.0,"{""type"":""Point"",""coordinates"":[-122.38088286178422,38.15698160070355]}"
164,1738,95.0,"{""type"":""Point"",""coordinates"":[-122.31597488111862,38.15482839690492]}"
165,1739,23.0,"{""type"":""Point"",""coordinates"":[-122.25355941102032,38.166517041828214]}"
166,1740,24.0,"{""type"":""Point"",""coordinates"":[-122.14818579390788,38.20502709400151]}"
167,1741,24.0,"{""type"":""Point"",""coordinates"":[-122.14798673441378,38.20519320283231]}"
168,1742,52.0,"{""type"":""Point"",""coordinates"":[-122.20144689973803,38.1875061495849]}"
169,1743,24.0,"{""type"":""Point"",""coordinates"":[-122.14822057577736,38.205253186591364]}"
170,1744,22.0,"{""type"":""Point"",""coordinates"":[-122.1038543602474,38.22609430917545]}"
171,1745,24.0,"{""type"":""Point"",""coordinates"":[-122.11232914093945,38.216239185470904]}"
172,1746,71.0,"{""type"":""Point"",""coordinates"":[-122.12788572040726,38.20728609216626]}"
173,1747,11.0,"{""type"":""Point"",""coordinates"":[-122.2513521231598,38.08482972611051]}"
174,1748,24.0,"{""type"":""Point"",""coordinates"":[-121.96078923073203,38.40188601314688]}"
175,1749,71.0,"{""type"":""Point"",""coordinates"":[-121.9726590989183,38.37933904459573]}"
176,1750,22.0,"{""type"":""Point"",""coordinates"":[-121.98099713298812,38.356780261742436]}"
177,1751,21.0,"{""type"":""Point"",""coordinates"":[-121.98112998034391,38.35649737592772]}"
178,1752,82.0,"{""type"":""Point"",""coordinates"":[-122.02224203857814,38.33928077151265]}"
179,1753,22.0,"{""type"":""Point"",""coordinates"":[-122.0962455576568,38.23649361595665]}"
180,1754,22.0,"{""type"":""Point"",""coordinates"":[-122.0962542906392,38.23650100150743]}"
181,1755,23.0,"{""type"":""Point"",""coordinates"":[-122.09650010461993,38.236411481651324]}"
182,1756,81.0,"{""type"":""Point"",""coordinates"":[-120.80337239342487,37.74089872807352]}"
183,1757,82.0,"{""type"":""Point"",""coordinates"":[-120.72444959460442,37.64727580269114]}"
184,1758,24.0,"{""type"":""Point"",""coordinates"":[-120.40675345102433,37.29322500921824]}"
185,1759,24.0,"{""type"":""Point"",""coordinates"":[-120.4069009157856,37.293173198758396]}"
186,1760,23.0,"{""type"":""Point"",""coordinates"":[-120.8268707921296,37.772453917444146]}"
187,1761,21.0,"{""type"":""Point"",""coordinates"":[-121.29599449279506,37.87238205162896]}"
188,1762,23.0,"{""type"":""Point"",""coordinates"":[-121.24007935119374,37.9190740918873]}"
189,1763,22.0,"{""type"":""Point"",""coordinates"":[-121.01354263753055,38.01474288137724]}"
190,1764,82.0,"{""type"":""Point"",""coordinates"":[-119.9175710605516,36.841279701581335]}"
191,1765,82.0,"{""type"":""Point"",""coordinates"":[-119.90124127098287,36.24224854629989]}"
192,1766,82.0,"{""type"":""Point"",""coordinates"":[-119.89199831665191,36.53682890632078]}"
193,1767,82.0,"{""type"":""Point"",""coordinates"":[-119.64069361991581,36.61139098189475]}"
194,1768,95.0,"{""type"":""Point"",""coordinates"":[-119.896970970955,36.68837131608149]}"
195,1769,82.0,"{""type"":""Point"",""coordinates"":[-119.89615622735857,36.705426395917726]}"
196,1770,82.0,"{""type"":""Point"",""coordinates"":[-119.89004438720286,36.70544982954466]}"
197,1771,23.0,"{""type"":""Point"",""coordinates"":[-119.88428665042099,36.705551961366055]}"
198,1772,23.0,"{""type"":""Point"",""coordinates"":[-119.82782849161016,36.79330074943427]}"
199,1773,23.0,"{""type"":""Point"",""coordinates"":[-119.872242309313,36.817559068487284]}"
200,1774,71.0,"{""type"":""Point"",""coordinates"":[-119.34797694930519,36.78748364441573]}"
201,1775,82.0,"{""type"":""Point"",""coordinates"":[-119.91858547250155,36.842238220585614]}"
202,1776,82.0,"{""type"":""Point"",""coordinates"":[-119.9173625312398,36.842020049164816]}"
203,1777,82.0,"{""type"":""Point"",""coordinates"":[-119.91764677419103,36.842186812040126]}"
204,1778,71.0,"{""type"":""Point"",""coordinates"":[-119.920255473212,36.84334618279494]}"
205,1779,71.0,"{""type"":""Point"",""coordinates"":[-119.91880491534114,36.846864899948876]}"
206,1780,23.0,"{""type"":""Point"",""coordinates"":[-119.91686680644744,36.852144978425436]}"
207,1781,82.0,"{""type"":""Point"",""coordinates"":[-119.59339956347942,36.76379937691772]}"
208,1782,21.0,"{""type"":""Point"",""coordinates"":[-119.64566503124752,36.82655711497326]}"
209,1783,71.0,"{""type"":""Point"",""coordinates"":[-119.58718261411356,36.9504462852936]}"
210,1784,71.0,"{""type"":""Point"",""coordinates"":[-119.60113167325208,36.82660710914897]}"
211,1785,71.0,"{""type"":""Point"",""coordinates"":[-120.44618358117907,35.00797231968939]}"
212,1786,71.0,"{""type"":""Point"",""coordinates"":[-120.44616781888993,35.00792206628737]}"
213,1787,42.0,"{""type"":""Point"",""coordinates"":[-120.60579906809744,38.391159773085285]}"
214,1788,71.0,"{""type"":""Point"",""coordinates"":[-122.53151138626076,38.202839825094834]}"
215,1789,82.0,"{""type"":""Point"",""coordinates"":[-122.51065119571389,38.145543256393594]}"
216,1790,82.0,"{""type"":""Point"",""coordinates"":[-122.51056834710985,38.14552759631314]}"
217,1791,22.0,"{""type"":""Point"",""coordinates"":[-122.5331390236226,38.109655082368455]}"
218,1792,71.0,"{""type"":""Point"",""coordinates"":[-122.58365955085354,38.443283095114126]}"
219,1793,22.0,"{""type"":""Point"",""coordinates"":[-122.76136791809188,38.49927978285008]}"
220,1794,23.0,"{""type"":""Point"",""coordinates"":[-122.76040851756878,38.49951034267287]}"
221,1795,22.0,"{""type"":""Point"",""coordinates"":[-122.76123432634984,38.49921219345457]}"
222,1796,22.0,"{""type"":""Point"",""coordinates"":[-121.75843527024766,37.988176207006205]}"
223,1797,23.0,"{""type"":""Point"",""coordinates"":[-121.74780453053813,37.95853535393521]}"
224,1798,24.0,"{""type"":""Point"",""coordinates"":[-121.74788124728663,37.95851259605641]}"
225,1799,22.0,"{""type"":""Point"",""coordinates"":[-121.73800535799306,37.937942761598826]}"
226,1800,22.0,"{""type"":""Point"",""coordinates"":[-121.70231065664005,37.91825941908717]}"
227,1801,22.0,"{""type"":""Point"",""coordinates"":[-121.72777128188937,37.92014993645391]}"
228,1802,22.0,"{""type"":""Point"",""coordinates"":[-121.72770923749852,37.92001962228838]}"
229,1803,22.0,"{""type"":""Point"",""coordinates"":[-121.72949126421446,37.92005989414415]}"
230,1804,22.0,"{""type"":""Point"",""coordinates"":[-121.72944042355252,37.920043447213146]}"
231,1805,71.0,"{""type"":""Point"",""coordinates"":[-121.72940637508272,37.91988920048735]}"
232,1806,71.0,"{""type"":""Point"",""coordinates"":[-121.72937837916163,37.91991313285894]}"
233,1807,22.0,"{""type"":""Point"",""coordinates"":[-121.7280459851968,37.91706557967672]}"
234,1808,23.0,"{""type"":""Point"",""coordinates"":[-121.67693120862583,37.91842351238158]}"
235,1809,21.0,"{""type"":""Point"",""coordinates"":[-121.67713834608169,37.91842939559209]}"
236,1810,22.0,"{""type"":""Point"",""coordinates"":[-121.72551515794565,37.91176748317]}"
237,1811,23.0,"{""type"":""Point"",""coordinates"":[-121.72559397724649,37.91174373909435]}"
238,1812,71.0,"{""type"":""Point"",""coordinates"":[-121.69144870421434,37.860371661094185]}"
239,1813,71.0,"{""type"":""Point"",""coordinates"":[-121.65185605536763,37.81125444408638]}"
240,1814,71.0,"{""type"":""Point"",""coordinates"":[-121.65192032054767,37.81122251523593]}"
241,1815,71.0,"{""type"":""Point"",""coordinates"":[-121.6086902787962,37.76066685451288]}"
242,1816,82.0,"{""type"":""Point"",""coordinates"":[-120.12446994128108,36.14118307446775]}"
243,1817,82.0,"{""type"":""Point"",""coordinates"":[-120.12361489217226,36.14223290909245]}"
244,1818,82.0,"{""type"":""Point"",""coordinates"":[-120.00897801542932,36.189920649467055]}"
245,1819,71.0,"{""type"":""Point"",""coordinates"":[-120.46938351520683,35.74704997760185]}"
246,1820,82.0,"{""type"":""Point"",""coordinates"":[-120.12622571539114,36.139725738151064]}"
247,1821,21.0,"{""type"":""Point"",""coordinates"":[-121.78051038674491,38.00742653261738]}"
248,1822,21.0,"{""type"":""Point"",""coordinates"":[-122.07682756624826,37.856523271330715]}"
249,1823,71.0,"{""type"":""Point"",""coordinates"":[-122.26691238255206,40.09085382619266]}"
250,1824,82.0,"{""type"":""Point"",""coordinates"":[-122.26543159367829,39.77977716309042]}"
251,1825,82.0,"{""type"":""Point"",""coordinates"":[-122.2653375915759,39.77977771332411]}"
252,1826,71.0,"{""type"":""Point"",""coordinates"":[-122.26533433238099,39.77773563709476]}"
253,1827,82.0,"{""type"":""Point"",""coordinates"":[-122.26510753985121,39.73597872117302]}"
