system:index,id,mode,.geo
0,4594,23.0,"{""type"":""Point"",""coordinates"":[-117.24661249588718,33.918133454036784]}"
1,4595,22.0,"{""type"":""Point"",""coordinates"":[-117.25056966156217,33.90932574142154]}"
2,4596,23.0,"{""type"":""Point"",""coordinates"":[-117.17417400721625,33.93454038693351]}"
3,4597,71.0,"{""type"":""Point"",""coordinates"":[-117.14858181732245,33.87487467926861]}"
4,4598,23.0,"{""type"":""Point"",""coordinates"":[-117.15568838894723,33.78769151421509]}"
5,4599,22.0,"{""type"":""Point"",""coordinates"":[-117.07842453169665,33.76075698361541]}"
6,4600,82.0,"{""type"":""Point"",""coordinates"":[-117.18599545511616,33.78626607983185]}"
7,4601,21.0,"{""type"":""Point"",""coordinates"":[-117.26941507225939,33.846580811330945]}"
8,4602,21.0,"{""type"":""Point"",""coordinates"":[-117.21716214074968,33.86472469601589]}"
9,4603,52.0,"{""type"":""Point"",""coordinates"":[-117.2563573254438,33.7207951013506]}"
10,4604,90.0,"{""type"":""Point"",""coordinates"":[-117.35281354676857,33.69760800299906]}"
11,4605,71.0,"{""type"":""Point"",""coordinates"":[-117.41782424580448,33.73188646243359]}"
12,4606,71.0,"{""type"":""Point"",""coordinates"":[-117.30708018006727,33.84082592874562]}"
13,4607,52.0,"{""type"":""Point"",""coordinates"":[-116.93605639145036,33.75953013598454]}"
14,4608,23.0,"{""type"":""Point"",""coordinates"":[-116.97609039661778,33.772809133474574]}"
15,4609,23.0,"{""type"":""Point"",""coordinates"":[-116.97963762128417,33.75862197763407]}"
16,4610,21.0,"{""type"":""Point"",""coordinates"":[-116.91985192048962,33.75165344657643]}"
17,4611,24.0,"{""type"":""Point"",""coordinates"":[-116.99962001287898,33.75428308336541]}"
18,4612,21.0,"{""type"":""Point"",""coordinates"":[-116.98919978516426,33.7764894261875]}"
19,4613,23.0,"{""type"":""Point"",""coordinates"":[-117.01415911340906,33.72842518099298]}"
20,4614,82.0,"{""type"":""Point"",""coordinates"":[-117.06152233319202,33.7086251421305]}"
21,4615,52.0,"{""type"":""Point"",""coordinates"":[-117.12079268884776,33.72035640813102]}"
22,4616,23.0,"{""type"":""Point"",""coordinates"":[-117.15100334362964,33.71308933687656]}"
23,4617,22.0,"{""type"":""Point"",""coordinates"":[-117.15250959564119,33.63960451565966]}"
24,4618,23.0,"{""type"":""Point"",""coordinates"":[-117.12260819351187,33.54999755614233]}"
25,4619,22.0,"{""type"":""Point"",""coordinates"":[-117.13217804694894,33.50440257618578]}"
26,4620,22.0,"{""type"":""Point"",""coordinates"":[-117.13814764825082,33.67480426090769]}"
27,4621,23.0,"{""type"":""Point"",""coordinates"":[-117.15061246733622,33.74020131769923]}"
28,4622,24.0,"{""type"":""Point"",""coordinates"":[-116.98496215797488,33.732830301752855]}"
29,4623,21.0,"{""type"":""Point"",""coordinates"":[-117.30742673285779,33.655554948176544]}"
30,4624,23.0,"{""type"":""Point"",""coordinates"":[-117.25288917482047,33.588946222231655]}"
31,4625,24.0,"{""type"":""Point"",""coordinates"":[-117.18399719629471,33.535213789844796]}"
32,4626,23.0,"{""type"":""Point"",""coordinates"":[-117.15069934596013,33.51220960594217]}"
33,4627,21.0,"{""type"":""Point"",""coordinates"":[-117.08036330089621,33.524229169753205]}"
34,4628,71.0,"{""type"":""Point"",""coordinates"":[-117.03093674355411,33.51631147989521]}"
35,4629,23.0,"{""type"":""Point"",""coordinates"":[-117.09656298783223,33.488891074701705]}"
36,4630,23.0,"{""type"":""Point"",""coordinates"":[-116.99438260779499,33.926360021256016]}"
37,4631,71.0,"{""type"":""Point"",""coordinates"":[-116.98877211941154,33.92149615514401]}"
38,4632,22.0,"{""type"":""Point"",""coordinates"":[-116.90333037308298,33.92273926740358]}"
39,4633,23.0,"{""type"":""Point"",""coordinates"":[-116.87393126366646,33.921692259374645]}"
40,4634,23.0,"{""type"":""Point"",""coordinates"":[-116.90522675043515,33.91883150701228]}"
41,4635,52.0,"{""type"":""Point"",""coordinates"":[-116.66561501523499,33.951318577961636]}"
42,4636,52.0,"{""type"":""Point"",""coordinates"":[-116.6797272851992,33.94255900365481]}"
43,4637,71.0,"{""type"":""Point"",""coordinates"":[-116.71962412741827,33.920316989388]}"
44,4638,31.0,"{""type"":""Point"",""coordinates"":[-116.71920865575026,33.914974333300094]}"
45,4639,21.0,"{""type"":""Point"",""coordinates"":[-116.61540079181547,33.934903215978835]}"
46,4641,21.0,"{""type"":""Point"",""coordinates"":[-116.59771431722663,33.93338209829222]}"
47,4642,22.0,"{""type"":""Point"",""coordinates"":[-116.58041883540557,33.92095154837261]}"
48,4643,22.0,"{""type"":""Point"",""coordinates"":[-116.58021620326916,33.92664671524288]}"
49,4644,52.0,"{""type"":""Point"",""coordinates"":[-116.56875018738232,33.93200020264507]}"
50,4645,24.0,"{""type"":""Point"",""coordinates"":[-116.57958876806292,33.90727618241172]}"
51,4646,52.0,"{""type"":""Point"",""coordinates"":[-116.5803167305206,33.91368645488682]}"
52,4647,52.0,"{""type"":""Point"",""coordinates"":[-116.62553354759497,33.91681751963737]}"
53,4648,31.0,"{""type"":""Point"",""coordinates"":[-116.50280874358003,33.89168405330135]}"
54,4649,31.0,"{""type"":""Point"",""coordinates"":[-116.4154320833351,33.828779455319925]}"
55,4650,21.0,"{""type"":""Point"",""coordinates"":[-116.37103691928347,33.81573911049428]}"
56,4651,22.0,"{""type"":""Point"",""coordinates"":[-116.36206820717636,33.81639336166854]}"
57,4652,31.0,"{""type"":""Point"",""coordinates"":[-116.51524743658358,33.87921681403131]}"
58,4653,21.0,"{""type"":""Point"",""coordinates"":[-116.5275256385453,33.9239514099234]}"
59,4654,31.0,"{""type"":""Point"",""coordinates"":[-116.5318798119798,33.90578538703267]}"
60,4655,31.0,"{""type"":""Point"",""coordinates"":[-116.52778945697325,33.90121728617362]}"
61,4656,21.0,"{""type"":""Point"",""coordinates"":[-116.55616064811748,33.91022129687754]}"
62,4657,23.0,"{""type"":""Point"",""coordinates"":[-116.48218812970667,33.833671696609876]}"
63,4658,23.0,"{""type"":""Point"",""coordinates"":[-116.4839073696382,33.80847045783703]}"
64,4659,21.0,"{""type"":""Point"",""coordinates"":[-116.51458846534162,33.810129595714336]}"
65,4660,23.0,"{""type"":""Point"",""coordinates"":[-116.53831212149177,33.81236441184461]}"
66,4661,24.0,"{""type"":""Point"",""coordinates"":[-116.54621476455905,33.8060591279919]}"
67,4662,23.0,"{""type"":""Point"",""coordinates"":[-116.45990023828274,33.83191408850686]}"
68,4663,22.0,"{""type"":""Point"",""coordinates"":[-116.45625926012464,33.79650610755047]}"
69,4664,22.0,"{""type"":""Point"",""coordinates"":[-116.43195004874951,33.801021609217706]}"
70,4665,21.0,"{""type"":""Point"",""coordinates"":[-116.37518988725407,33.76953782427135]}"
71,4666,52.0,"{""type"":""Point"",""coordinates"":[-116.40088133603216,33.77317851222843]}"
72,4667,23.0,"{""type"":""Point"",""coordinates"":[-116.38236639305995,33.81513139770861]}"
73,4668,24.0,"{""type"":""Point"",""coordinates"":[-116.35423309620145,33.7579256631508]}"
74,4669,23.0,"{""type"":""Point"",""coordinates"":[-116.37398728246781,33.711428657263326]}"
75,4670,23.0,"{""type"":""Point"",""coordinates"":[-116.3688007525301,33.81807662970607]}"
76,4671,22.0,"{""type"":""Point"",""coordinates"":[-116.3674865672314,33.817123187096634]}"
77,4672,23.0,"{""type"":""Point"",""coordinates"":[-116.34047716291124,33.774356059075025]}"
78,4673,24.0,"{""type"":""Point"",""coordinates"":[-117.92380936362204,33.93235686740475]}"
79,4674,22.0,"{""type"":""Point"",""coordinates"":[-117.91194942859724,33.93506371114566]}"
80,4675,52.0,"{""type"":""Point"",""coordinates"":[-117.82341752308542,33.963379524625765]}"
81,4676,23.0,"{""type"":""Point"",""coordinates"":[-117.91108114985555,33.941697919598]}"
82,4677,23.0,"{""type"":""Point"",""coordinates"":[-117.88869825477707,33.92767133552097]}"
83,4678,23.0,"{""type"":""Point"",""coordinates"":[-117.86927213741954,33.91237112117316]}"
84,4679,23.0,"{""type"":""Point"",""coordinates"":[-117.85909525220384,33.878271993171126]}"
85,4680,23.0,"{""type"":""Point"",""coordinates"":[-117.88240406816904,33.89338863403952]}"
86,4681,23.0,"{""type"":""Point"",""coordinates"":[-117.88437112842874,33.878381625390155]}"
87,4682,23.0,"{""type"":""Point"",""coordinates"":[-117.9198993492541,33.93907815744566]}"
88,4683,24.0,"{""type"":""Point"",""coordinates"":[-117.91763663508645,33.920624337723154]}"
89,4684,23.0,"{""type"":""Point"",""coordinates"":[-117.92924469088946,33.92475298902008]}"
90,4685,23.0,"{""type"":""Point"",""coordinates"":[-117.93150474608038,33.93850911134468]}"
91,4686,23.0,"{""type"":""Point"",""coordinates"":[-117.92858687401026,33.93903863915738]}"
92,4687,23.0,"{""type"":""Point"",""coordinates"":[-117.94452812498253,33.92475537892135]}"
93,4688,24.0,"{""type"":""Point"",""coordinates"":[-117.98572503574331,33.92585107940718]}"
94,4689,23.0,"{""type"":""Point"",""coordinates"":[-117.99423084264482,33.927887431229045]}"
95,4690,23.0,"{""type"":""Point"",""coordinates"":[-117.95991454267984,33.9197869377011]}"
96,4691,22.0,"{""type"":""Point"",""coordinates"":[-117.9603808027597,33.93658636785555]}"
97,4692,24.0,"{""type"":""Point"",""coordinates"":[-117.95928837757081,33.93189680581084]}"
98,4693,23.0,"{""type"":""Point"",""coordinates"":[-117.93319994785577,33.92137297820456]}"
99,4694,22.0,"{""type"":""Point"",""coordinates"":[-118.01185346217424,33.905124115328235]}"
100,4695,23.0,"{""type"":""Point"",""coordinates"":[-117.84028250074499,33.90214880337876]}"
101,4696,22.0,"{""type"":""Point"",""coordinates"":[-117.85557596570351,33.91844568455669]}"
102,4697,23.0,"{""type"":""Point"",""coordinates"":[-117.84730615960925,33.92157782834856]}"
103,4698,22.0,"{""type"":""Point"",""coordinates"":[-117.8472490128628,33.92265939550066]}"
104,4699,21.0,"{""type"":""Point"",""coordinates"":[-117.85497429730982,33.92353711301015]}"
105,4700,23.0,"{""type"":""Point"",""coordinates"":[-117.89349808216633,33.91402355646222]}"
106,4701,22.0,"{""type"":""Point"",""coordinates"":[-117.80911449041474,33.901059958649476]}"
107,4702,23.0,"{""type"":""Point"",""coordinates"":[-117.96348513228831,33.91631261913235]}"
108,4703,23.0,"{""type"":""Point"",""coordinates"":[-117.98351082377728,33.89292412730057]}"
109,4704,23.0,"{""type"":""Point"",""coordinates"":[-117.9643106698153,33.872433465774186]}"
110,4705,24.0,"{""type"":""Point"",""coordinates"":[-117.97079370139566,33.87627919527298]}"
111,4706,23.0,"{""type"":""Point"",""coordinates"":[-117.95525163477018,33.88070562459405]}"
112,4707,24.0,"{""type"":""Point"",""coordinates"":[-117.93985231734726,33.866785166490004]}"
113,4708,23.0,"{""type"":""Point"",""coordinates"":[-117.95552913841905,33.86126283313677]}"
114,4709,23.0,"{""type"":""Point"",""coordinates"":[-117.98103702205263,33.828258553129615]}"
115,4710,23.0,"{""type"":""Point"",""coordinates"":[-117.98128153038222,33.84609574200825]}"
116,4711,24.0,"{""type"":""Point"",""coordinates"":[-117.9803613224734,33.831997450166746]}"
117,4712,23.0,"{""type"":""Point"",""coordinates"":[-118.02256404971682,33.8438783103301]}"
118,4713,23.0,"{""type"":""Point"",""coordinates"":[-117.98361067811544,33.81399087449246]}"
119,4714,24.0,"{""type"":""Point"",""coordinates"":[-117.99250064316497,33.78810458457201]}"
120,4715,23.0,"{""type"":""Point"",""coordinates"":[-117.99391128891084,33.79629480328566]}"
121,4716,24.0,"{""type"":""Point"",""coordinates"":[-118.01062108181885,33.824545928961584]}"
122,4717,24.0,"{""type"":""Point"",""coordinates"":[-118.02875814335117,33.810030730816415]}"
123,4718,24.0,"{""type"":""Point"",""coordinates"":[-118.0720637759328,33.829982124965404]}"
124,4719,23.0,"{""type"":""Point"",""coordinates"":[-118.05584379104637,33.81633113635782]}"
125,4720,24.0,"{""type"":""Point"",""coordinates"":[-118.03624317876319,33.81688995899713]}"
126,4721,24.0,"{""type"":""Point"",""coordinates"":[-117.9893370182494,33.75214969387918]}"
127,4722,23.0,"{""type"":""Point"",""coordinates"":[-118.00261186286608,33.74034504130881]}"
128,4723,23.0,"{""type"":""Point"",""coordinates"":[-117.94177394933466,33.75247148254762]}"
129,4724,22.0,"{""type"":""Point"",""coordinates"":[-117.92961808922739,33.732599307238694]}"
130,4725,24.0,"{""type"":""Point"",""coordinates"":[-117.92082521854296,33.718627970376055]}"
131,4726,23.0,"{""type"":""Point"",""coordinates"":[-117.92773539686044,33.724680926419516]}"
132,4727,23.0,"{""type"":""Point"",""coordinates"":[-117.95820476605877,33.71597801341405]}"
133,4728,23.0,"{""type"":""Point"",""coordinates"":[-117.96322581145043,33.69743491544014]}"
134,4729,23.0,"{""type"":""Point"",""coordinates"":[-117.96777534152467,33.84820200168987]}"
135,4730,24.0,"{""type"":""Point"",""coordinates"":[-117.97390882595715,33.84672189689625]}"
136,4731,23.0,"{""type"":""Point"",""coordinates"":[-117.95882957252027,33.81256077845033]}"
137,4732,23.0,"{""type"":""Point"",""coordinates"":[-117.97571806724864,33.81249893739721]}"
138,4733,23.0,"{""type"":""Point"",""coordinates"":[-117.95164236318614,33.80364951692636]}"
139,4735,24.0,"{""type"":""Point"",""coordinates"":[-117.91407478248183,33.864981616029674]}"
140,4736,24.0,"{""type"":""Point"",""coordinates"":[-117.89886362246168,33.859614040386546]}"
141,4737,24.0,"{""type"":""Point"",""coordinates"":[-117.88395989251188,33.86325454538524]}"
142,4738,24.0,"{""type"":""Point"",""coordinates"":[-117.88943155475971,33.86988195424784]}"
143,4739,23.0,"{""type"":""Point"",""coordinates"":[-117.98449611488986,33.76647169031066]}"
144,4740,23.0,"{""type"":""Point"",""coordinates"":[-117.9828882632367,33.77656337706875]}"
145,4741,23.0,"{""type"":""Point"",""coordinates"":[-117.97997071630712,33.76170512680517]}"
146,4742,22.0,"{""type"":""Point"",""coordinates"":[-117.97969606252865,33.7877938160605]}"
147,4743,23.0,"{""type"":""Point"",""coordinates"":[-117.97892590466765,33.727968770628685]}"
148,4744,23.0,"{""type"":""Point"",""coordinates"":[-118.02443993776559,33.76272756577802]}"
149,4745,23.0,"{""type"":""Point"",""coordinates"":[-117.98439338825156,33.71742310320514]}"
150,4746,24.0,"{""type"":""Point"",""coordinates"":[-117.99910100716512,33.74150923777965]}"
151,4747,23.0,"{""type"":""Point"",""coordinates"":[-117.92118139045118,33.749792227027385]}"
152,4748,23.0,"{""type"":""Point"",""coordinates"":[-117.89834689095353,33.72425542849271]}"
153,4749,23.0,"{""type"":""Point"",""coordinates"":[-117.94554768065775,33.691664491798164]}"
154,4750,23.0,"{""type"":""Point"",""coordinates"":[-117.94501475851798,33.68576524135248]}"
155,4751,23.0,"{""type"":""Point"",""coordinates"":[-117.94147167634422,33.68492924484414]}"
156,4752,52.0,"{""type"":""Point"",""coordinates"":[-117.94707092569999,33.66961168409046]}"
157,4753,23.0,"{""type"":""Point"",""coordinates"":[-117.95318151886897,33.64831187417378]}"
158,4754,24.0,"{""type"":""Point"",""coordinates"":[-117.95220749670706,33.65397165683264]}"
159,4755,22.0,"{""type"":""Point"",""coordinates"":[-117.94351927551317,33.640651667264514]}"
160,4756,22.0,"{""type"":""Point"",""coordinates"":[-117.93724416912346,33.64688504249951]}"
161,4757,24.0,"{""type"":""Point"",""coordinates"":[-117.92106194293173,33.64402231390195]}"
162,4758,24.0,"{""type"":""Point"",""coordinates"":[-117.9267540502472,33.63304346769471]}"
163,4759,24.0,"{""type"":""Point"",""coordinates"":[-117.9259093208067,33.630960011766916]}"
164,4760,23.0,"{""type"":""Point"",""coordinates"":[-117.94812859318667,33.68019199319101]}"
165,4761,23.0,"{""type"":""Point"",""coordinates"":[-117.90343669486847,33.70572566263678]}"
166,4762,24.0,"{""type"":""Point"",""coordinates"":[-117.88506001871569,33.71395897081223]}"
167,4763,24.0,"{""type"":""Point"",""coordinates"":[-117.88529055919105,33.70822147291911]}"
168,4764,24.0,"{""type"":""Point"",""coordinates"":[-117.93331354664106,33.63070124843721]}"
169,4765,24.0,"{""type"":""Point"",""coordinates"":[-117.89713382741878,33.70223863649705]}"
170,4766,23.0,"{""type"":""Point"",""coordinates"":[-117.91939892422415,33.69557940788346]}"
171,4767,23.0,"{""type"":""Point"",""coordinates"":[-117.87402359095772,33.6955046717819]}"
172,4768,24.0,"{""type"":""Point"",""coordinates"":[-117.85567500149544,33.70381134717394]}"
173,4769,23.0,"{""type"":""Point"",""coordinates"":[-117.86307703856697,33.692779258706636]}"
174,4770,23.0,"{""type"":""Point"",""coordinates"":[-117.86050394817447,33.692412182246734]}"
175,4771,23.0,"{""type"":""Point"",""coordinates"":[-117.96778568424806,33.6444672266841]}"
176,4772,24.0,"{""type"":""Point"",""coordinates"":[-117.96458720321844,33.650644786628284]}"
177,4773,23.0,"{""type"":""Point"",""coordinates"":[-117.9536333060801,33.66905857736279]}"
178,4774,23.0,"{""type"":""Point"",""coordinates"":[-117.95454512729557,33.64702660434662]}"
179,4775,52.0,"{""type"":""Point"",""coordinates"":[-117.94391852936917,33.67954907672002]}"
