system:index,id,mode,.geo
0,6121,22.0,"{""type"":""Point"",""coordinates"":[-121.24295721955816,38.70436729241192]}"
1,6122,22.0,"{""type"":""Point"",""coordinates"":[-121.24370319839198,38.704711743990984]}"
2,6123,42.0,"{""type"":""Point"",""coordinates"":[-120.62203568876824,38.79474070860486]}"
3,6124,42.0,"{""type"":""Point"",""coordinates"":[-120.78893631169974,38.763446241814]}"
4,6125,71.0,"{""type"":""Point"",""coordinates"":[-120.7876372337302,38.761982937301674]}"
5,6126,41.0,"{""type"":""Point"",""coordinates"":[-120.90173136674336,38.73073563343396]}"
6,6127,71.0,"{""type"":""Point"",""coordinates"":[-121.47589995749226,38.721915778208526]}"
7,6128,21.0,"{""type"":""Point"",""coordinates"":[-121.21503279553193,38.71628874991954]}"
8,6129,21.0,"{""type"":""Point"",""coordinates"":[-121.3466752520328,38.76361167162432]}"
9,6130,21.0,"{""type"":""Point"",""coordinates"":[-121.34642849007209,38.763610038422]}"
10,6131,71.0,"{""type"":""Point"",""coordinates"":[-121.25799671932104,38.75785409229514]}"
11,6132,21.0,"{""type"":""Point"",""coordinates"":[-121.23179857320993,38.72846540799086]}"
12,6133,24.0,"{""type"":""Point"",""coordinates"":[-121.26340943179038,38.7551648139413]}"
13,6134,23.0,"{""type"":""Point"",""coordinates"":[-121.2683872594913,38.74547266010498]}"
14,6135,23.0,"{""type"":""Point"",""coordinates"":[-121.26846495255172,38.745491337538766]}"
15,6136,24.0,"{""type"":""Point"",""coordinates"":[-121.26822094227276,38.745097054042]}"
16,6137,23.0,"{""type"":""Point"",""coordinates"":[-121.27141401563671,38.73636385765029]}"
17,6138,21.0,"{""type"":""Point"",""coordinates"":[-121.28474733618403,38.76667205844328]}"
18,6139,23.0,"{""type"":""Point"",""coordinates"":[-121.2655546057119,38.76174438408972]}"
19,6140,23.0,"{""type"":""Point"",""coordinates"":[-121.30501477190496,38.77172682900134]}"
20,6141,23.0,"{""type"":""Point"",""coordinates"":[-121.38962550203351,38.54962284516956]}"
21,6142,71.0,"{""type"":""Point"",""coordinates"":[-121.35456480304326,38.50944012459121]}"
22,6143,22.0,"{""type"":""Point"",""coordinates"":[-121.3544426503444,38.50913704811246]}"
23,6144,82.0,"{""type"":""Point"",""coordinates"":[-121.4261799182835,38.58535007486906]}"
24,6145,22.0,"{""type"":""Point"",""coordinates"":[-121.47585648667385,38.640111462489]}"
25,6146,21.0,"{""type"":""Point"",""coordinates"":[-121.26371454093781,38.76557167998876]}"
26,6147,90.0,"{""type"":""Point"",""coordinates"":[-121.44902550751884,38.59076643190325]}"
27,6148,21.0,"{""type"":""Point"",""coordinates"":[-121.47250360346167,38.504987607719634]}"
28,6149,71.0,"{""type"":""Point"",""coordinates"":[-121.35738614831443,38.508402041773905]}"
29,6150,22.0,"{""type"":""Point"",""coordinates"":[-121.26550498515887,38.68622946744721]}"
30,6151,21.0,"{""type"":""Point"",""coordinates"":[-121.42056189734998,38.58584006286807]}"
31,6152,82.0,"{""type"":""Point"",""coordinates"":[-121.42404328764174,38.58504959761041]}"
32,6153,52.0,"{""type"":""Point"",""coordinates"":[-120.88564372410414,38.73101613860492]}"
