system:index,id,mode,.geo
0,5604,52.0,"{""type"":""Point"",""coordinates"":[-118.61132586391032,35.02518830366585]}"
1,5605,81.0,"{""type"":""Point"",""coordinates"":[-118.30186406894477,34.68661432571344]}"
2,5606,81.0,"{""type"":""Point"",""coordinates"":[-118.30186191747967,34.686612380441765]}"
3,5607,24.0,"{""type"":""Point"",""coordinates"":[-118.03479304083372,34.0530937938462]}"
4,5608,24.0,"{""type"":""Point"",""coordinates"":[-116.12368011236987,34.149443833359136]}"
5,5609,52.0,"{""type"":""Point"",""coordinates"":[-116.14998883558118,34.14941489317137]}"
6,5610,71.0,"{""type"":""Point"",""coordinates"":[-116.37429897160163,34.13087297861653]}"
7,5611,52.0,"{""type"":""Point"",""coordinates"":[-116.25270823501288,34.14524957409268]}"
8,5612,52.0,"{""type"":""Point"",""coordinates"":[-116.31637301065167,34.1168188181335]}"
9,5613,21.0,"{""type"":""Point"",""coordinates"":[-116.08274921173152,34.14851936031334]}"
10,5614,23.0,"{""type"":""Point"",""coordinates"":[-117.20629915706525,33.71125583827595]}"
11,5615,23.0,"{""type"":""Point"",""coordinates"":[-117.18129202767335,33.68494704382697]}"
12,5616,52.0,"{""type"":""Point"",""coordinates"":[-116.71355173782894,35.243150090831385]}"
13,5617,23.0,"{""type"":""Point"",""coordinates"":[-117.20551138037558,34.08091057331091]}"
14,5618,23.0,"{""type"":""Point"",""coordinates"":[-117.2238561891493,34.077918111354926]}"
15,5619,24.0,"{""type"":""Point"",""coordinates"":[-117.25374110094882,34.07921666929955]}"
16,5620,71.0,"{""type"":""Point"",""coordinates"":[-119.33823295788159,34.34816781173192]}"
17,5621,52.0,"{""type"":""Point"",""coordinates"":[-118.43922267595964,37.760544274691284]}"
18,5622,52.0,"{""type"":""Point"",""coordinates"":[-117.68110497982588,35.003076673256835]}"
19,5623,52.0,"{""type"":""Point"",""coordinates"":[-117.91658054128247,35.085745462455]}"
20,5624,52.0,"{""type"":""Point"",""coordinates"":[-117.88376576290224,34.997887236105264]}"
21,5625,11.0,"{""type"":""Point"",""coordinates"":[-114.5472306283935,33.71091542831427]}"
22,5626,82.0,"{""type"":""Point"",""coordinates"":[-114.58828100403814,33.66726079014544]}"
23,5627,82.0,"{""type"":""Point"",""coordinates"":[-114.56686186356777,33.63205581546469]}"
24,5628,23.0,"{""type"":""Point"",""coordinates"":[-114.59045019043398,33.615860257744714]}"
25,5629,82.0,"{""type"":""Point"",""coordinates"":[-114.64381463258307,33.59572708369098]}"
26,5630,52.0,"{""type"":""Point"",""coordinates"":[-114.67992152746524,33.61048491798332]}"
27,5631,21.0,"{""type"":""Point"",""coordinates"":[-117.23631472051234,33.801133641462435]}"
28,5632,52.0,"{""type"":""Point"",""coordinates"":[-116.65964130336023,34.90370633477142]}"
29,5633,52.0,"{""type"":""Point"",""coordinates"":[-116.76731311941312,34.89198224581569]}"
30,5634,21.0,"{""type"":""Point"",""coordinates"":[-116.79445231696394,34.91138485922537]}"
31,5635,52.0,"{""type"":""Point"",""coordinates"":[-117.33266664317651,34.71247290039305]}"
32,5636,52.0,"{""type"":""Point"",""coordinates"":[-117.28646238500424,34.764679531240915]}"
33,5637,52.0,"{""type"":""Point"",""coordinates"":[-117.18217557766401,34.82422590397193]}"
34,5638,52.0,"{""type"":""Point"",""coordinates"":[-117.80700349209968,35.64925979807499]}"
35,5639,23.0,"{""type"":""Point"",""coordinates"":[-117.67823973640532,35.62330252644336]}"
36,5640,24.0,"{""type"":""Point"",""coordinates"":[-118.21561079972922,33.7781211018006]}"
37,5641,23.0,"{""type"":""Point"",""coordinates"":[-117.54591299645428,34.09821737244441]}"
38,5642,21.0,"{""type"":""Point"",""coordinates"":[-118.70770421970552,34.08364729855342]}"
39,5643,22.0,"{""type"":""Point"",""coordinates"":[-117.25509616173979,33.5842616854169]}"
40,5645,23.0,"{""type"":""Point"",""coordinates"":[-119.33838768582241,36.21065400469912]}"
41,5646,22.0,"{""type"":""Point"",""coordinates"":[-118.37361411335584,34.00010242654895]}"
42,5647,24.0,"{""type"":""Point"",""coordinates"":[-118.34551378756433,34.188215979811254]}"
43,5648,23.0,"{""type"":""Point"",""coordinates"":[-118.34475747000967,34.186585979346134]}"
44,5649,23.0,"{""type"":""Point"",""coordinates"":[-118.34671092966103,34.18483333349766]}"
45,5650,21.0,"{""type"":""Point"",""coordinates"":[-118.34605441572612,34.185551089842505]}"
46,5651,42.0,"{""type"":""Point"",""coordinates"":[-118.1001831136421,37.42712049228023]}"
47,5652,52.0,"{""type"":""Point"",""coordinates"":[-118.07910697513701,37.42224658016667]}"
48,5653,52.0,"{""type"":""Point"",""coordinates"":[-118.18764534361505,37.414139215862036]}"
49,5654,42.0,"{""type"":""Point"",""coordinates"":[-118.26983505525108,37.40507439172112]}"
50,5655,52.0,"{""type"":""Point"",""coordinates"":[-117.92577638486605,37.44972046177446]}"
51,5656,71.0,"{""type"":""Point"",""coordinates"":[-119.30580990399675,37.20026544054707]}"
52,5657,52.0,"{""type"":""Point"",""coordinates"":[-118.4006195249621,33.38213185693286]}"
53,5658,23.0,"{""type"":""Point"",""coordinates"":[-117.61902285185708,33.9695377750784]}"
54,5659,21.0,"{""type"":""Point"",""coordinates"":[-118.81097110184444,35.194687348895776]}"
55,5660,52.0,"{""type"":""Point"",""coordinates"":[-117.95437163995197,36.0935291212027]}"
56,5661,52.0,"{""type"":""Point"",""coordinates"":[-118.3121243274794,34.86444609243603]}"
57,5662,22.0,"{""type"":""Point"",""coordinates"":[-117.33342224043777,33.97253318396676]}"
58,5663,52.0,"{""type"":""Point"",""coordinates"":[-117.33359772396567,33.97178423590006]}"
59,5664,23.0,"{""type"":""Point"",""coordinates"":[-117.37178812166731,33.975042486568086]}"
60,5665,52.0,"{""type"":""Point"",""coordinates"":[-118.48982380283398,37.328492537163726]}"
61,5666,21.0,"{""type"":""Point"",""coordinates"":[-118.87787938458686,36.45948783591993]}"
62,5667,23.0,"{""type"":""Point"",""coordinates"":[-118.10646680858066,33.78210751760901]}"
63,5668,23.0,"{""type"":""Point"",""coordinates"":[-118.11017143155269,33.781527764086746]}"
64,5669,23.0,"{""type"":""Point"",""coordinates"":[-117.68993437245923,33.98338233210179]}"
65,5670,24.0,"{""type"":""Point"",""coordinates"":[-118.23181582154379,33.81505254197841]}"
66,5671,52.0,"{""type"":""Point"",""coordinates"":[-117.45275512924157,33.85745441719374]}"
67,5672,22.0,"{""type"":""Point"",""coordinates"":[-117.51712489482789,33.83348522545392]}"
68,5673,52.0,"{""type"":""Point"",""coordinates"":[-117.68893403730257,34.128691099572094]}"
69,5674,24.0,"{""type"":""Point"",""coordinates"":[-117.95537963818478,33.641388428750886]}"
70,5675,23.0,"{""type"":""Point"",""coordinates"":[-119.24699384668799,34.207557203379174]}"
71,5676,22.0,"{""type"":""Point"",""coordinates"":[-117.42932300265304,34.07571000591932]}"
72,5678,24.0,"{""type"":""Point"",""coordinates"":[-117.97617523816035,33.84750190549829]}"
73,5679,23.0,"{""type"":""Point"",""coordinates"":[-117.97959772850791,33.81409958595564]}"
74,5680,24.0,"{""type"":""Point"",""coordinates"":[-117.97552144644928,33.8176416907594]}"
75,5681,23.0,"{""type"":""Point"",""coordinates"":[-117.97402614963546,33.83950376581121]}"
76,5682,24.0,"{""type"":""Point"",""coordinates"":[-117.91213628038925,33.85611988528769]}"
77,5683,24.0,"{""type"":""Point"",""coordinates"":[-117.89782801947665,33.81087726672018]}"
78,5684,22.0,"{""type"":""Point"",""coordinates"":[-117.83142968624703,33.874202643470255]}"
79,5685,31.0,"{""type"":""Point"",""coordinates"":[-114.81142814885607,33.577629205072384]}"
80,5687,52.0,"{""type"":""Point"",""coordinates"":[-115.18275428165812,33.6416274544138]}"
81,5688,52.0,"{""type"":""Point"",""coordinates"":[-116.08755850549723,33.7441925885345]}"
82,5689,52.0,"{""type"":""Point"",""coordinates"":[-116.88754010066368,33.874865953170826]}"
83,5690,24.0,"{""type"":""Point"",""coordinates"":[-117.89830046747552,33.8109639749988]}"
