system:index,id,mean,.geo
0,6121,0.6273487540697552,"{""type"":""Point"",""coordinates"":[-121.24295721955816,38.70436729241192]}"
1,6122,0.2869567194552131,"{""type"":""Point"",""coordinates"":[-121.24370319839198,38.704711743990984]}"
2,6123,0.3253701196060496,"{""type"":""Point"",""coordinates"":[-120.62203568876824,38.79474070860486]}"
3,6124,0.5019134123288302,"{""type"":""Point"",""coordinates"":[-120.78893631169974,38.763446241814]}"
4,6125,0.38263251168036083,"{""type"":""Point"",""coordinates"":[-120.7876372337302,38.761982937301674]}"
5,6126,0.6007407209565272,"{""type"":""Point"",""coordinates"":[-120.90173136674336,38.73073563343396]}"
6,6127,0.3299508348401377,"{""type"":""Point"",""coordinates"":[-121.47589995749226,38.721915778208526]}"
7,6128,0.29159273083277243,"{""type"":""Point"",""coordinates"":[-121.21503279553193,38.71628874991954]}"
8,6129,0.6849023214659931,"{""type"":""Point"",""coordinates"":[-121.3466752520328,38.76361167162432]}"
9,6130,0.6782616804998601,"{""type"":""Point"",""coordinates"":[-121.34642849007209,38.763610038422]}"
10,6131,0.7881453398828021,"{""type"":""Point"",""coordinates"":[-121.25799671932104,38.75785409229514]}"
11,6132,0.1449722393584207,"{""type"":""Point"",""coordinates"":[-121.23179857320993,38.72846540799086]}"
12,6133,0.0673336519196286,"{""type"":""Point"",""coordinates"":[-121.26340943179038,38.75516481394129]}"
13,6134,0.035144489152761735,"{""type"":""Point"",""coordinates"":[-121.2683872594913,38.74547266010498]}"
14,6135,0.09811554255498679,"{""type"":""Point"",""coordinates"":[-121.26846495255172,38.745491337538766]}"
15,6136,0.05423698222182114,"{""type"":""Point"",""coordinates"":[-121.26822094227276,38.745097054042]}"
16,6137,0.6331788754149004,"{""type"":""Point"",""coordinates"":[-121.27141401563671,38.73636385765029]}"
17,6138,0.5980747916128933,"{""type"":""Point"",""coordinates"":[-121.28474733618403,38.76667205844328]}"
18,6139,0.15762603701340142,"{""type"":""Point"",""coordinates"":[-121.2655546057119,38.76174438408972]}"
19,6140,0.2827245352741256,"{""type"":""Point"",""coordinates"":[-121.30501477190496,38.77172682900134]}"
20,6141,0.06250473233891121,"{""type"":""Point"",""coordinates"":[-121.38962550203351,38.54962284516956]}"
21,6142,0.18649517684887465,"{""type"":""Point"",""coordinates"":[-121.35456480304326,38.50944012459121]}"
22,6143,0.10189923489090137,"{""type"":""Point"",""coordinates"":[-121.3544426503444,38.50913704811246]}"
23,6144,0.28251010587102987,"{""type"":""Point"",""coordinates"":[-121.4261799182835,38.58535007486906]}"
24,6145,0.27063804052010887,"{""type"":""Point"",""coordinates"":[-121.47585648667385,38.640111462489]}"
25,6146,0.18854054272086476,"{""type"":""Point"",""coordinates"":[-121.26371454093781,38.76557167998876]}"
26,6147,0.7484552521427148,"{""type"":""Point"",""coordinates"":[-121.44902550751884,38.59076643190325]}"
27,6148,0.2051715968320585,"{""type"":""Point"",""coordinates"":[-121.47250360346167,38.504987607719634]}"
28,6149,0.2706022524183711,"{""type"":""Point"",""coordinates"":[-121.35738614831443,38.508402041773905]}"
29,6150,0.41971416561580493,"{""type"":""Point"",""coordinates"":[-121.26550498515887,38.68622946744721]}"
30,6151,0.3307417052834799,"{""type"":""Point"",""coordinates"":[-121.42056189734998,38.58584006286807]}"
31,6152,0.5708759954493743,"{""type"":""Point"",""coordinates"":[-121.42404328764174,38.5850495976104]}"
32,6153,0.5988153712799769,"{""type"":""Point"",""coordinates"":[-120.88564372410414,38.73101613860492]}"
33,6154,0.23149543035050718,"{""type"":""Point"",""coordinates"":[-121.35211749149526,38.508273650280266]}"
34,6155,0.4371942516588039,"{""type"":""Point"",""coordinates"":[-120.36808306304765,38.95469081943783]}"
35,6156,0.7681220375559458,"{""type"":""Point"",""coordinates"":[-120.37696649973395,38.90519830771177]}"
36,6157,0.1978833965679723,"{""type"":""Point"",""coordinates"":[-120.49435154292854,38.85190361907325]}"
37,6158,0.2522660388463802,"{""type"":""Point"",""coordinates"":[-121.13478415244671,38.657199591899804]}"
38,6159,0.18608616573831988,"{""type"":""Point"",""coordinates"":[-121.1342528245918,38.65741400242978]}"
39,6160,0.7449871962120114,"{""type"":""Point"",""coordinates"":[-121.13582630294532,38.670258203679055]}"
40,6161,0.2072857142857143,"{""type"":""Point"",""coordinates"":[-121.4100185756961,38.54877576800424]}"
41,6162,0.34475078718992397,"{""type"":""Point"",""coordinates"":[-121.44794115385331,38.55806474799903]}"
42,6163,0.05024365652831457,"{""type"":""Point"",""coordinates"":[-121.47630849051515,38.56623516961733]}"
43,6164,0.2161882179608186,"{""type"":""Point"",""coordinates"":[-121.26538429032844,38.76176117301133]}"
44,6165,0.28288711722069904,"{""type"":""Point"",""coordinates"":[-121.25736112574798,38.75927646981642]}"
