system:index,id,mean,.geo
0,5604,0.28545024544388575,"{""type"":""Point"",""coordinates"":[-118.61132586391032,35.02518830366585]}"
1,5605,0.2046206422168601,"{""type"":""Point"",""coordinates"":[-118.30186406894477,34.68661432571344]}"
2,5606,0.2046206422168601,"{""type"":""Point"",""coordinates"":[-118.30186191747967,34.686612380441765]}"
3,5607,0.02094743379820455,"{""type"":""Point"",""coordinates"":[-118.03479304083372,34.0530937938462]}"
4,5608,0.03618686340691179,"{""type"":""Point"",""coordinates"":[-116.12368011236987,34.149443833359136]}"
5,5609,0.10344827586206896,"{""type"":""Point"",""coordinates"":[-116.14998883558118,34.14941489317137]}"
6,5610,0.15402898106263893,"{""type"":""Point"",""coordinates"":[-116.37429897160163,34.13087297861653]}"
7,5611,0.09850901036079128,"{""type"":""Point"",""coordinates"":[-116.25270823501288,34.14524957409268]}"
8,5612,0.1540110226576852,"{""type"":""Point"",""coordinates"":[-116.31637301065167,34.1168188181335]}"
9,5613,0.10426261939352731,"{""type"":""Point"",""coordinates"":[-116.08274921173152,34.14851936031334]}"
10,5614,0.11958310477235326,"{""type"":""Point"",""coordinates"":[-117.20629915706525,33.71125583827595]}"
11,5615,0.1322373123659757,"{""type"":""Point"",""coordinates"":[-117.18129202767335,33.68494704382697]}"
12,5616,0.09834659714599342,"{""type"":""Point"",""coordinates"":[-116.71355173782894,35.243150090831385]}"
13,5617,0.25715288748464105,"{""type"":""Point"",""coordinates"":[-117.20551138037558,34.08091057331091]}"
14,5618,0.2260320324836454,"{""type"":""Point"",""coordinates"":[-117.2238561891493,34.077918111354926]}"
15,5619,0.02920789146276433,"{""type"":""Point"",""coordinates"":[-117.25374110094882,34.07921666929955]}"
16,5620,0.58202959014177,"{""type"":""Point"",""coordinates"":[-119.33823295788159,34.34816781173192]}"
17,5621,0.09454212641619907,"{""type"":""Point"",""coordinates"":[-118.43922267595964,37.760544274691284]}"
18,5622,0.14383147241625868,"{""type"":""Point"",""coordinates"":[-117.68110497982588,35.003076673256835]}"
19,5623,0.1692176870748299,"{""type"":""Point"",""coordinates"":[-117.91658054128247,35.085745462455]}"
20,5624,0.18245434374466632,"{""type"":""Point"",""coordinates"":[-117.88376576290224,34.99788723610527]}"
21,5625,0.04374136077407468,"{""type"":""Point"",""coordinates"":[-114.54723062839349,33.71091542831428]}"
22,5626,0.5767404485353204,"{""type"":""Point"",""coordinates"":[-114.58828100403814,33.66726079014544]}"
23,5627,0.4704732107938991,"{""type"":""Point"",""coordinates"":[-114.56686186356775,33.63205581546468]}"
24,5628,0.12895501095429765,"{""type"":""Point"",""coordinates"":[-114.59045019043398,33.615860257744714]}"
25,5629,0.49633699633699635,"{""type"":""Point"",""coordinates"":[-114.64381463258307,33.59572708369098]}"
26,5630,0.08367717559960759,"{""type"":""Point"",""coordinates"":[-114.67992152746524,33.61048491798332]}"
27,5631,0.14901477832512317,"{""type"":""Point"",""coordinates"":[-117.23631472051231,33.801133641462435]}"
28,5632,0.10574970926221594,"{""type"":""Point"",""coordinates"":[-116.65964130336023,34.90370633477142]}"
29,5633,0.10742182184361648,"{""type"":""Point"",""coordinates"":[-116.76731311941312,34.89198224581569]}"
30,5634,0.09726275535876017,"{""type"":""Point"",""coordinates"":[-116.79445231696394,34.91138485922537]}"
31,5635,0.09229916897506929,"{""type"":""Point"",""coordinates"":[-117.33266664317651,34.71247290039305]}"
32,5636,0.11889733350508826,"{""type"":""Point"",""coordinates"":[-117.28646238500424,34.764679531240915]}"
33,5637,0.13177007677941485,"{""type"":""Point"",""coordinates"":[-117.18217557766401,34.82422590397193]}"
34,5638,0.12252621750946167,"{""type"":""Point"",""coordinates"":[-117.80700349209968,35.64925979807499]}"
35,5639,0.06972275597035406,"{""type"":""Point"",""coordinates"":[-117.67823973640532,35.62330252644336]}"
36,5640,0.03402518293222348,"{""type"":""Point"",""coordinates"":[-118.21561079972922,33.7781211018006]}"
37,5641,0.25512227362855255,"{""type"":""Point"",""coordinates"":[-117.54591299645428,34.09821737244441]}"
38,5642,0.32517767680298265,"{""type"":""Point"",""coordinates"":[-118.70770421970552,34.08364729855342]}"
39,5643,0.22287835329846464,"{""type"":""Point"",""coordinates"":[-117.25509616173979,33.5842616854169]}"
40,5645,0.32045969154526427,"{""type"":""Point"",""coordinates"":[-119.33838768582238,36.21065400469912]}"
41,5646,0.29818666357684953,"{""type"":""Point"",""coordinates"":[-118.37361411335584,34.00010242654895]}"
42,5647,0.026146010186757215,"{""type"":""Point"",""coordinates"":[-118.34551378756433,34.188215979811254]}"
43,5648,0.1636542239685658,"{""type"":""Point"",""coordinates"":[-118.34475747000967,34.186585979346134]}"
44,5649,0.26546309155004805,"{""type"":""Point"",""coordinates"":[-118.34671092966103,34.18483333349766]}"
45,5650,0.8394831299353912,"{""type"":""Point"",""coordinates"":[-118.34605441572612,34.185551089842505]}"
46,5651,0.258636185822378,"{""type"":""Point"",""coordinates"":[-118.1001831136421,37.42712049228023]}"
47,5652,0.2681238281257211,"{""type"":""Point"",""coordinates"":[-118.07910697513701,37.42224658016667]}"
48,5653,0.15911204811806287,"{""type"":""Point"",""coordinates"":[-118.18764534361505,37.414139215862036]}"
49,5654,0.10693752395553852,"{""type"":""Point"",""coordinates"":[-118.26983505525108,37.40507439172112]}"
50,5655,0.13308315052170916,"{""type"":""Point"",""coordinates"":[-117.92577638486605,37.44972046177446]}"
51,5656,0.382587986239746,"{""type"":""Point"",""coordinates"":[-119.30580990399675,37.20026544054707]}"
52,5657,0.35813831185905864,"{""type"":""Point"",""coordinates"":[-118.4006195249621,33.38213185693286]}"
53,5658,0.04306686326046544,"{""type"":""Point"",""coordinates"":[-117.61902285185708,33.9695377750784]}"
