system:index,id,mean,.geo
0,6633,0.22436982274873069,"{""type"":""Point"",""coordinates"":[-121.18389525142814,37.47485554179501]}"
1,6634,0.27048435024700274,"{""type"":""Point"",""coordinates"":[-120.40876988180536,37.695552932693644]}"
2,6635,0.7739795790485869,"{""type"":""Point"",""coordinates"":[-123.04315546668288,40.5873148706445]}"
3,6636,0.3848497506081231,"{""type"":""Point"",""coordinates"":[-122.93641977823995,40.7205754881484]}"
4,6640,0.05637282852472726,"{""type"":""Point"",""coordinates"":[-118.21286439827944,33.992937973232465]}"
5,6641,0.11897083810118243,"{""type"":""Point"",""coordinates"":[-118.20825294495616,33.98650328565161]}"
6,6642,0.03776982854323425,"{""type"":""Point"",""coordinates"":[-118.2107697399165,33.985328946201754]}"
7,6643,0.09444238148285679,"{""type"":""Point"",""coordinates"":[-118.22321673799394,33.996284759790456]}"
8,6644,0.0308017666776964,"{""type"":""Point"",""coordinates"":[-118.20519764948875,34.00576590146921]}"
9,6645,0.007954669281900403,"{""type"":""Point"",""coordinates"":[-118.20790587803117,34.0020829108464]}"
10,6646,0.0057438534259726904,"{""type"":""Point"",""coordinates"":[-118.23494109167238,33.996538435571544]}"
11,6647,0.10047114726372168,"{""type"":""Point"",""coordinates"":[-118.23309542516074,34.00387964266626]}"
12,6648,0.055771725032425425,"{""type"":""Point"",""coordinates"":[-118.22535092169237,34.0017488102021]}"
13,6649,0.04866449409820218,"{""type"":""Point"",""coordinates"":[-118.20362715893984,33.99531964638675]}"
14,6650,0.0065232449579874134,"{""type"":""Point"",""coordinates"":[-118.21970350682561,33.997467024962134]}"
15,6651,0.03676470588235294,"{""type"":""Point"",""coordinates"":[-118.19273495346279,34.00182326594661]}"
16,6652,-0.024334423166744557,"{""type"":""Point"",""coordinates"":[-117.37255685858459,34.58060084676273]}"
17,6653,0.06577181208053691,"{""type"":""Point"",""coordinates"":[-114.52489831909905,34.00404298360017]}"
18,6654,0.2812082605568684,"{""type"":""Point"",""coordinates"":[-114.61749349635132,32.76020476459012]}"
19,6655,0.6274660821138692,"{""type"":""Point"",""coordinates"":[-114.47365784971795,32.717907016114076]}"
20,6656,0.7186351483856405,"{""type"":""Point"",""coordinates"":[-114.43642639072843,32.71103474499961]}"
21,6657,0.07684994454127717,"{""type"":""Point"",""coordinates"":[-114.49088723737285,32.79634799242044]}"
22,6658,0.0954481015682219,"{""type"":""Point"",""coordinates"":[-114.8003014408336,33.33846158430329]}"
23,6659,0.5027005401080216,"{""type"":""Point"",""coordinates"":[-114.44482323931494,33.96827848782174]}"
