system:index,id,mean,.geo
0,5604,15.900634765625,"{""type"":""Point"",""coordinates"":[-118.61132586391032,35.02518830366585]}"
1,5605,4.761665344238281,"{""type"":""Point"",""coordinates"":[-118.30186406894477,34.68661432571344]}"
2,5606,4.761665344238281,"{""type"":""Point"",""coordinates"":[-118.30186191747967,34.686612380441765]}"
3,5607,2.9050300121307373,"{""type"":""Point"",""coordinates"":[-118.03479304083372,34.0530937938462]}"
4,5608,2.240321159362793,"{""type"":""Point"",""coordinates"":[-116.12368011236987,34.149443833359136]}"
5,5609,1.454431176185608,"{""type"":""Point"",""coordinates"":[-116.14998883558118,34.14941489317137]}"
6,5610,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-116.37429897160163,34.13087297861653]}"
7,5611,0.0,"{""type"":""Point"",""coordinates"":[-116.25270823501288,34.14524957409268]}"
8,5612,2.2394607067108154,"{""type"":""Point"",""coordinates"":[-116.31637301065167,34.1168188181335]}"
9,5613,2.424302816390991,"{""type"":""Point"",""coordinates"":[-116.08274921173152,34.14851936031334]}"
10,5614,1.4500091075897217,"{""type"":""Point"",""coordinates"":[-117.20629915706525,33.71125583827595]}"
11,5615,1.449746012687683,"{""type"":""Point"",""coordinates"":[-117.18129202767335,33.68494704382697]}"
12,5616,3.0025495905962183,"{""type"":""Point"",""coordinates"":[-116.71355173782894,35.243150090831385]}"
13,5617,2.99662446975708,"{""type"":""Point"",""coordinates"":[-117.20551138037558,34.08091057331091]}"
14,5618,1.4537005424499512,"{""type"":""Point"",""coordinates"":[-117.2238561891493,34.077918111354926]}"
15,5619,3.8317952156066895,"{""type"":""Point"",""coordinates"":[-117.25374110094882,34.07921666929955]}"
16,5620,10.156331062316895,"{""type"":""Point"",""coordinates"":[-119.33823295788159,34.34816781173192]}"
17,5621,3.634839046360883,"{""type"":""Point"",""coordinates"":[-118.43922267595964,37.760544274691284]}"
18,5622,1.4633558544910703,"{""type"":""Point"",""coordinates"":[-117.68110497982588,35.003076673256835]}"
19,5623,3.58432352069583,"{""type"":""Point"",""coordinates"":[-117.91658054128247,35.085745462455]}"
20,5624,2.1721809470718307,"{""type"":""Point"",""coordinates"":[-117.88376576290224,34.99788723610527]}"
21,5625,4.320361614227295,"{""type"":""Point"",""coordinates"":[-114.54723062839349,33.71091542831428]}"
22,5626,3.465265989303589,"{""type"":""Point"",""coordinates"":[-114.58828100403814,33.66726079014544]}"
23,5627,1.8543341159820557,"{""type"":""Point"",""coordinates"":[-114.56686186356775,33.63205581546468]}"
24,5628,1.4490584135055542,"{""type"":""Point"",""coordinates"":[-114.59045019043398,33.615860257744714]}"
25,5629,1.4488600492477417,"{""type"":""Point"",""coordinates"":[-114.64381463258307,33.59572708369098]}"
26,5630,1.4490059614181519,"{""type"":""Point"",""coordinates"":[-114.67992152746524,33.61048491798332]}"
27,5631,2.415879726409912,"{""type"":""Point"",""coordinates"":[-117.23631472051231,33.801133641462435]}"
28,5632,3.581153688674501,"{""type"":""Point"",""coordinates"":[-116.65964130336023,34.90370633477142]}"
29,5633,6.489491939544678,"{""type"":""Point"",""coordinates"":[-116.76731311941312,34.89198224581569]}"
30,5634,3.000816583633423,"{""type"":""Point"",""coordinates"":[-116.79445231696394,34.91138485922537]}"
31,5635,4.867822970234376,"{""type"":""Point"",""coordinates"":[-117.33266664317651,34.71247290039305]}"
32,5636,4.506764834335732,"{""type"":""Point"",""coordinates"":[-117.28646238500424,34.764679531240915]}"
33,5637,2.4411394860671876,"{""type"":""Point"",""coordinates"":[-117.18217557766401,34.82422590397193]}"
34,5638,0.9274099368611016,"{""type"":""Point"",""coordinates"":[-117.80700349209968,35.64925979807499]}"
35,5639,1.1408658545569272,"{""type"":""Point"",""coordinates"":[-117.67823973640532,35.62330252644336]}"
36,5640,2.163705587387085,"{""type"":""Point"",""coordinates"":[-118.21561079972922,33.7781211018006]}"
37,5641,2.7802884578704834,"{""type"":""Point"",""coordinates"":[-117.54591299645428,34.09821737244441]}"
38,5642,5.976971094007816,"{""type"":""Point"",""coordinates"":[-118.70770421970552,34.08364729855342]}"
39,5643,2.8956387042999268,"{""type"":""Point"",""coordinates"":[-117.25509616173979,33.5842616854169]}"
40,5645,2.1812268297594577,"{""type"":""Point"",""coordinates"":[-119.33838768582238,36.21065400469912]}"
41,5646,2.16520357131958,"{""type"":""Point"",""coordinates"":[-118.37361411335584,34.00010242654895]}"
42,5647,2.1664879322052,"{""type"":""Point"",""coordinates"":[-118.34551378756433,34.188215979811254]}"
43,5648,2.9077444076538086,"{""type"":""Point"",""coordinates"":[-118.34475747000967,34.186585979346134]}"
44,5649,2.425194263458252,"{""type"":""Point"",""coordinates"":[-118.34671092966103,34.18483333349766]}"
45,5650,2.9077274799346924,"{""type"":""Point"",""coordinates"":[-118.34605441572612,34.185551089842505]}"
46,5651,25.658798217773438,"{""type"":""Point"",""coordinates"":[-118.1001831136421,37.42712049228023]}"
47,5652,25.878681182861328,"{""type"":""Point"",""coordinates"":[-118.07910697513701,37.42224658016667]}"
48,5653,12.167044639587402,"{""type"":""Point"",""coordinates"":[-118.18764534361505,37.414139215862036]}"
49,5654,37.78020477294922,"{""type"":""Point"",""coordinates"":[-118.26983505525108,37.40507439172112]}"
50,5655,13.680863949513837,"{""type"":""Point"",""coordinates"":[-117.92577638486605,37.44972046177446]}"
51,5656,26.07922090720855,"{""type"":""Point"",""coordinates"":[-119.30580990399675,37.20026544054707]}"
52,5657,16.54811917791199,"{""type"":""Point"",""coordinates"":[-118.4006195249621,33.38213185693286]}"
53,5658,0.0,"{""type"":""Point"",""coordinates"":[-117.61902285185708,33.9695377750784]}"
