system:index,id,mean,.geo
0,1574,12.720699558291932,"{""type"":""Point"",""coordinates"":[-121.87656802169413,37.564210485920334]}"
1,1575,7.232760592304389,"{""type"":""Point"",""coordinates"":[-121.87577023411296,37.5633056366728]}"
2,1576,3.015319585800171,"{""type"":""Point"",""coordinates"":[-121.98548982711048,37.50192917152784]}"
3,1577,2.1928257942199707,"{""type"":""Point"",""coordinates"":[-121.76156526697298,37.64932768247163]}"
4,1578,3.9657371044158936,"{""type"":""Point"",""coordinates"":[-121.82178458879376,37.60827889311721]}"
5,1579,3.9657371044158936,"{""type"":""Point"",""coordinates"":[-121.82183177289392,37.60832767131248]}"
6,1580,1.4929215908050537,"{""type"":""Point"",""coordinates"":[-121.86234698112307,37.577484274040664]}"
7,1581,12.950453758239746,"{""type"":""Point"",""coordinates"":[-121.89594102541875,37.54297241728357]}"
8,1582,12.950453758239746,"{""type"":""Point"",""coordinates"":[-121.89600878611644,37.543008584862534]}"
9,1583,19.060657501220703,"{""type"":""Point"",""coordinates"":[-121.93895345800595,37.519876163507384]}"
10,1584,4.373363971710205,"{""type"":""Point"",""coordinates"":[-120.40843149664285,37.294324322359074]}"
11,1585,2.7802884578704834,"{""type"":""Point"",""coordinates"":[-120.40841606807712,37.294390727575106]}"
12,1586,2.9778125286102295,"{""type"":""Point"",""coordinates"":[-120.44940601914499,37.331410200071886]}"
13,1587,2.4660227298736572,"{""type"":""Point"",""coordinates"":[-119.77678423790084,35.7825657444283]}"
14,1588,5.701371669769287,"{""type"":""Point"",""coordinates"":[-119.80825319293109,35.834839406960036]}"
15,1589,2.942254066467285,"{""type"":""Point"",""coordinates"":[-119.85944733221588,35.802506853781075]}"
16,1590,10.183404678301727,"{""type"":""Point"",""coordinates"":[-120.12403520951348,36.14111538777047]}"
17,1591,11.05128450390268,"{""type"":""Point"",""coordinates"":[-121.0176030298867,37.05376003551362]}"
18,1592,11.292869752976038,"{""type"":""Point"",""coordinates"":[-121.01690825721053,37.05340462854027]}"
