system:index,id,mean,.geo
0,2580,11.052240371704102,"{""type"":""Point"",""coordinates"":[-121.84002515566665,37.66599621018311]}"
1,2581,2.7802884578704834,"{""type"":""Point"",""coordinates"":[-121.80653519477899,37.644370606820374]}"
2,2582,1.8543341159820557,"{""type"":""Point"",""coordinates"":[-121.78187590528715,37.660879828287584]}"
3,2583,2.517836093902588,"{""type"":""Point"",""coordinates"":[-121.78037002646195,37.639236786574756]}"
4,2584,2.193186044692993,"{""type"":""Point"",""coordinates"":[-121.75341286485563,37.69218146020661]}"
5,2585,10.930258750915527,"{""type"":""Point"",""coordinates"":[-121.70157801420945,37.72374839894706]}"
6,2586,0.0,"{""type"":""Point"",""coordinates"":[-121.71623489070576,37.71118046797431]}"
7,2587,6.568647384643555,"{""type"":""Point"",""coordinates"":[-121.68101356766743,37.75889754155617]}"
8,2588,12.873600959777832,"{""type"":""Point"",""coordinates"":[-121.69465295557673,37.72802867929454]}"
9,2589,14.794919967651367,"{""type"":""Point"",""coordinates"":[-121.68843211318456,37.730039311832385]}"
10,2590,11.050322532653809,"{""type"":""Point"",""coordinates"":[-121.66786599403453,37.74549441988033]}"
11,2591,6.017348766326904,"{""type"":""Point"",""coordinates"":[-121.64068844326782,37.77634445821496]}"
12,2592,13.836676597595215,"{""type"":""Point"",""coordinates"":[-121.62938045837069,37.7782742380323]}"
13,2593,26.22018051147461,"{""type"":""Point"",""coordinates"":[-121.62045446059541,37.79981916054975]}"
14,2594,16.394174575805664,"{""type"":""Point"",""coordinates"":[-121.65556755926951,37.74769866833834]}"
15,2595,3.6343634128570557,"{""type"":""Point"",""coordinates"":[-121.65675032525245,37.750536009733736]}"
16,2596,8.196856498718262,"{""type"":""Point"",""coordinates"":[-121.53914591628302,37.658321933737305]}"
17,2597,17.131742477416992,"{""type"":""Point"",""coordinates"":[-121.54276455444547,37.665984787890885]}"
18,2598,13.607782363891602,"{""type"":""Point"",""coordinates"":[-121.54352868086038,37.672467225007956]}"
19,2599,14.982611656188965,"{""type"":""Point"",""coordinates"":[-121.5533471260778,37.68171229403114]}"
20,2600,2.343113899230957,"{""type"":""Point"",""coordinates"":[-121.61060443619999,37.699115350289816]}"
21,2601,14.169569079954861,"{""type"":""Point"",""coordinates"":[-122.19350688498726,37.88553115586496]}"
22,2602,2.1908195170027485,"{""type"":""Point"",""coordinates"":[-122.09976380312595,37.40894080511173]}"
23,2603,1.8543341159820557,"{""type"":""Point"",""coordinates"":[-122.11391994279023,37.377736440999996]}"
24,2604,3.6159889698028564,"{""type"":""Point"",""coordinates"":[-122.07913764495638,37.34514858336073]}"
25,2605,2.190192222595215,"{""type"":""Point"",""coordinates"":[-122.05356812981137,37.33296185855741]}"
26,2606,1.4899427890777588,"{""type"":""Point"",""coordinates"":[-122.03194979288295,37.33394637326143]}"
27,2607,1.4895381927490234,"{""type"":""Point"",""coordinates"":[-122.04627210692833,37.30040985006167]}"
28,2608,20.318580627441406,"{""type"":""Point"",""coordinates"":[-122.08870723636602,37.32074117358112]}"
29,2609,15.386483485048837,"{""type"":""Point"",""coordinates"":[-122.13369188123583,37.23146410437111]}"
30,2610,13.737552642822266,"{""type"":""Point"",""coordinates"":[-122.083158760705,37.31866726105073]}"
31,2611,13.391217231750488,"{""type"":""Point"",""coordinates"":[-122.09016330080986,37.31418049992896]}"
32,2612,19.026979446411133,"{""type"":""Point"",""coordinates"":[-122.08974869342953,37.31063523021969]}"
33,2613,9.26900577545166,"{""type"":""Point"",""coordinates"":[-122.15808852019357,37.113060505111726]}"
34,2614,12.911187171936035,"{""type"":""Point"",""coordinates"":[-122.17087960325061,37.06285396036617]}"
35,2615,16.24017906188965,"{""type"":""Point"",""coordinates"":[-122.15708275229655,37.06140084347151]}"
36,2616,15.691347122192383,"{""type"":""Point"",""coordinates"":[-122.17159581425258,37.02842888787103]}"
37,2617,10.075215339660645,"{""type"":""Point"",""coordinates"":[-122.19412909263148,37.02390958470987]}"
38,2618,1.1650303602218628,"{""type"":""Point"",""coordinates"":[-122.00406236452106,37.25032881746077]}"
39,2619,2.9755759239196777,"{""type"":""Point"",""coordinates"":[-121.93836205109618,37.23877593298871]}"
40,2620,2.5066418647766113,"{""type"":""Point"",""coordinates"":[-121.90453384983306,37.252798303050696]}"
41,2621,4.743009567260742,"{""type"":""Point"",""coordinates"":[-121.86385809991808,37.27876754179584]}"
42,2622,4.656169891357422,"{""type"":""Point"",""coordinates"":[-121.91126466446083,37.34203354168302]}"
43,2623,13.84607982635498,"{""type"":""Point"",""coordinates"":[-121.90801481296177,37.3438889899289]}"
44,2624,5.415371417999268,"{""type"":""Point"",""coordinates"":[-121.9094976962115,37.31417251987021]}"
45,2625,3.0143680572509766,"{""type"":""Point"",""coordinates"":[-121.88878536580644,37.34394067548284]}"
46,2626,6.544846534729004,"{""type"":""Point"",""coordinates"":[-121.86060920390098,37.32023637757578]}"
47,2627,3.614830493927002,"{""type"":""Point"",""coordinates"":[-121.86864108588321,37.319463846482705]}"
48,2628,5.415767669677734,"{""type"":""Point"",""coordinates"":[-121.80064813176928,37.32174702074221]}"
49,2629,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-121.8532315871862,37.299802292451346]}"
50,2630,2.509317636489868,"{""type"":""Point"",""coordinates"":[-121.8522136995244,37.34571140945502]}"
51,2631,4.463387489318848,"{""type"":""Point"",""coordinates"":[-121.87174684423508,37.377693931844284]}"
52,2632,4.745828628540039,"{""type"":""Point"",""coordinates"":[-121.85184593366984,37.325160805510095]}"
53,2633,18.64144515991211,"{""type"":""Point"",""coordinates"":[-121.6958921699258,37.055197855656736]}"
54,2634,2.1872072219848633,"{""type"":""Point"",""coordinates"":[-121.73585644034043,36.96741385033689]}"
55,2635,1.1602792739868164,"{""type"":""Point"",""coordinates"":[-121.75951047058693,36.94031037614402]}"
56,2636,2.4971771240234375,"{""type"":""Point"",""coordinates"":[-121.77201616372265,36.919935179098076]}"
57,2637,1.1597721576690674,"{""type"":""Point"",""coordinates"":[-121.7642905227731,36.90734639009352]}"
