system:index,id,mean,.geo
0,5096,2.237743854522705,"{""type"":""Point"",""coordinates"":[-118.06589466163867,34.05193888352459]}"
1,5097,2.4223759174346924,"{""type"":""Point"",""coordinates"":[-118.07132222553686,34.069418321903555]}"
2,5098,16.331541061401367,"{""type"":""Point"",""coordinates"":[-118.16289735359331,34.21345446114221]}"
3,5099,2.908306837081909,"{""type"":""Point"",""coordinates"":[-118.19879316469982,34.2140596014973]}"
4,5100,17.567562103271484,"{""type"":""Point"",""coordinates"":[-118.18374541815221,34.17550392734962]}"
5,5101,18.71215057373047,"{""type"":""Point"",""coordinates"":[-118.18434410507334,34.15387535513206]}"
6,5102,11.102811813354492,"{""type"":""Point"",""coordinates"":[-118.19816911822457,34.13631785800851]}"
7,5103,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-118.18947779787112,34.13735005211488]}"
8,5104,3.704791784286499,"{""type"":""Point"",""coordinates"":[-118.18239582653146,34.12060283169383]}"
9,5105,1.1204010248184204,"{""type"":""Point"",""coordinates"":[-118.18920090747105,34.13530495034589]}"
10,5106,4.354609966278076,"{""type"":""Point"",""coordinates"":[-118.17591027809698,34.109557370458255]}"
11,5107,9.972760200500488,"{""type"":""Point"",""coordinates"":[-118.17486121150506,34.04995368728131]}"
12,5108,2.9053738117218018,"{""type"":""Point"",""coordinates"":[-118.16106584536273,34.0700016130911]}"
13,5109,3.5681145191192627,"{""type"":""Point"",""coordinates"":[-118.19230693165048,34.13372241716508]}"
14,5110,2.7802884578704834,"{""type"":""Point"",""coordinates"":[-118.2198296190721,34.12596203251681]}"
15,5111,7.839173793792725,"{""type"":""Point"",""coordinates"":[-118.22795390528387,34.10623101829568]}"
16,5112,2.166205883026123,"{""type"":""Point"",""coordinates"":[-118.23866417768348,34.14681982422263]}"
17,5113,1.454797625541687,"{""type"":""Point"",""coordinates"":[-118.16070614114204,34.1853426936908]}"
18,5114,5.804042339324951,"{""type"":""Point"",""coordinates"":[-118.381999915738,34.27142054855507]}"
19,5115,2.427098274230957,"{""type"":""Point"",""coordinates"":[-118.40107552942008,34.26209654255311]}"
20,5116,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-118.39304087943572,34.255258401447314]}"
21,5117,1.1217074394226074,"{""type"":""Point"",""coordinates"":[-118.38955823627893,34.23359124592399]}"
22,5118,4.99617338180542,"{""type"":""Point"",""coordinates"":[-118.38527091832098,34.226391384785565]}"
23,5119,2.166672945022583,"{""type"":""Point"",""coordinates"":[-118.38793254041963,34.21496056964992]}"
24,5120,1.4550508260726929,"{""type"":""Point"",""coordinates"":[-118.38764960157224,34.209963159905755]}"
25,5121,2.425248622894287,"{""type"":""Point"",""coordinates"":[-118.37392927661467,34.18704255532302]}"
26,5122,1.454783320426941,"{""type"":""Point"",""coordinates"":[-118.36429636023105,34.18374608269161]}"
27,5123,1.4548487663269043,"{""type"":""Point"",""coordinates"":[-118.37421130774918,34.19031652944618]}"
28,5124,1.4548118114471436,"{""type"":""Point"",""coordinates"":[-118.34874151792272,34.18674687498313]}"
29,5125,3.5688657760620117,"{""type"":""Point"",""coordinates"":[-118.35317892476638,34.17881704802624]}"
30,5126,1.4547321796417236,"{""type"":""Point"",""coordinates"":[-118.34880664044228,34.1789841758396]}"
31,5127,2.7802884578704834,"{""type"":""Point"",""coordinates"":[-118.35128567107101,34.17398571991857]}"
32,5128,3.484637975692749,"{""type"":""Point"",""coordinates"":[-118.34979417883716,34.17975796884248]}"
33,5129,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-118.35344414912102,34.17316939574847]}"
34,5130,7.461564064025879,"{""type"":""Point"",""coordinates"":[-118.37465787158025,34.12124546582394]}"
35,5131,2.9078238010406494,"{""type"":""Point"",""coordinates"":[-118.37031086918114,34.190311981735036]}"
36,5132,1.4546582698822021,"{""type"":""Point"",""coordinates"":[-118.36052492296231,34.171694789508535]}"
37,5133,1.1208837032318115,"{""type"":""Point"",""coordinates"":[-118.34812318389851,34.17166279849296]}"
38,5134,2.9970602989196777,"{""type"":""Point"",""coordinates"":[-118.3592799712761,34.16918152492054]}"
39,5135,2.2404093742370605,"{""type"":""Point"",""coordinates"":[-118.36709436606685,34.152663121030635]}"
40,5136,1.4543970823287964,"{""type"":""Point"",""coordinates"":[-118.3627720439666,34.14606373461782]}"
41,5137,3.86962890625,"{""type"":""Point"",""coordinates"":[-118.35805193475353,34.143175192175185]}"
42,5138,2.423419713973999,"{""type"":""Point"",""coordinates"":[-118.23623665953814,34.112217474920556]}"
43,5139,3.704791784286499,"{""type"":""Point"",""coordinates"":[-118.38117523785125,34.085665816718645]}"
44,5140,2.9969751834869385,"{""type"":""Point"",""coordinates"":[-118.33284061897812,34.15189205729937]}"
45,5141,2.996997117996216,"{""type"":""Point"",""coordinates"":[-118.3344888673966,34.15619802623614]}"
46,5142,1.4545674324035645,"{""type"":""Point"",""coordinates"":[-118.34436729496213,34.1627355907664]}"
47,5143,3.8354830741882324,"{""type"":""Point"",""coordinates"":[-118.32269068744719,34.18566723742939]}"
48,5144,2.4250171184539795,"{""type"":""Point"",""coordinates"":[-118.31809350254785,34.17767950434835]}"
49,5145,2.4250307083129883,"{""type"":""Point"",""coordinates"":[-118.31858929872783,34.178162644226]}"
50,5146,2.166377305984497,"{""type"":""Point"",""coordinates"":[-118.32368277596774,34.172010370965026]}"
51,5147,2.9075400829315186,"{""type"":""Point"",""coordinates"":[-118.31545632823337,34.176569581009616]}"
52,5148,4.569240093231201,"{""type"":""Point"",""coordinates"":[-118.30443909552777,34.17036377238952]}"
53,5149,2.424710988998413,"{""type"":""Point"",""coordinates"":[-118.30275526087733,34.164858116699996]}"
54,5150,2.9970741271972656,"{""type"":""Point"",""coordinates"":[-118.29932349250993,34.17194434590066]}"
55,5151,1.4546412229537964,"{""type"":""Point"",""coordinates"":[-118.30121430363049,34.16995805345495]}"
56,5152,3.4837770462036133,"{""type"":""Point"",""coordinates"":[-118.27847087271324,34.15728318908392]}"
57,5153,3.5684921741485596,"{""type"":""Point"",""coordinates"":[-118.27241472781417,34.156307457661846]}"
58,5154,2.166297197341919,"{""type"":""Point"",""coordinates"":[-118.28168112519089,34.160347470132336]}"
59,5155,1.1207915544509888,"{""type"":""Point"",""coordinates"":[-118.28959821889734,34.16454740504653]}"
60,5156,2.424302816390991,"{""type"":""Point"",""coordinates"":[-118.2699869834858,34.14852823821992]}"
61,5157,1.120297908782959,"{""type"":""Point"",""coordinates"":[-118.26344099861299,34.12756204742813]}"
62,5158,2.9062659740448,"{""type"":""Point"",""coordinates"":[-118.24731183495028,34.113910341422006]}"
63,5159,0.0,"{""type"":""Point"",""coordinates"":[-118.2530981665489,34.10561169514437]}"
64,5160,11.47797679901123,"{""type"":""Point"",""coordinates"":[-118.27781084346003,34.10124945896267]}"
65,5161,41.283748626708984,"{""type"":""Point"",""coordinates"":[-118.23393691879015,34.0859784741174]}"
66,5162,2.424445629119873,"{""type"":""Point"",""coordinates"":[-118.2623656487273,34.15415003372738]}"
67,5163,1.8543341159820557,"{""type"":""Point"",""coordinates"":[-118.27112560864093,34.15699239552839]}"
68,5164,1.120213270187378,"{""type"":""Point"",""coordinates"":[-118.22633382765386,34.12087267773436]}"
69,5165,0.0,"{""type"":""Point"",""coordinates"":[-118.20267774999948,34.10136394308172]}"
70,5166,4.566629886627197,"{""type"":""Point"",""coordinates"":[-118.16345924186245,34.11954238291592]}"
71,5167,10.075929641723633,"{""type"":""Point"",""coordinates"":[-118.17263992355797,34.11985851893554]}"
72,5168,5.136647701263428,"{""type"":""Point"",""coordinates"":[-118.15936591417473,34.124507653545955]}"
73,5169,2.1659398078918457,"{""type"":""Point"",""coordinates"":[-118.14657083096215,34.10795710062916]}"
74,5170,3.704791784286499,"{""type"":""Point"",""coordinates"":[-118.15973150201789,34.11470326447633]}"
75,5171,2.1657614707946777,"{""type"":""Point"",""coordinates"":[-118.13848164106201,34.0819943326495]}"
76,5172,5.135883331298828,"{""type"":""Point"",""coordinates"":[-118.15111500895009,34.05731764297131]}"
77,5173,10.666446685791016,"{""type"":""Point"",""coordinates"":[-118.18103195753457,34.04819162227825]}"
78,5174,2.905221700668335,"{""type"":""Point"",""coordinates"":[-118.20684200244163,34.06249669857225]}"
79,5175,9.260712623596191,"{""type"":""Point"",""coordinates"":[-118.18644171530039,34.04308658716616]}"
80,5176,3.353970527648926,"{""type"":""Point"",""coordinates"":[-118.18286935252331,34.03890051538475]}"
81,5177,15.964398384094238,"{""type"":""Point"",""coordinates"":[-118.17100036922139,34.04778568534567]}"
82,5178,0.0,"{""type"":""Point"",""coordinates"":[-118.13543844251032,34.05607329852907]}"
83,5179,3.480437994003296,"{""type"":""Point"",""coordinates"":[-118.11429042138045,34.069900351479]}"
84,5180,1.1194491386413574,"{""type"":""Point"",""coordinates"":[-118.12824901268009,34.06342469880535]}"
85,5181,3.56713604927063,"{""type"":""Point"",""coordinates"":[-118.21202475009521,34.07428667061033]}"
86,5182,15.394230842590332,"{""type"":""Point"",""coordinates"":[-118.19869184054058,34.08569234373125]}"
87,5183,1.1200735569000244,"{""type"":""Point"",""coordinates"":[-118.19668092259025,34.11057509812764]}"
88,5184,4.759637832641602,"{""type"":""Point"",""coordinates"":[-118.16392022900689,34.04021310570856]}"
89,5185,0.9274099469184875,"{""type"":""Point"",""coordinates"":[-118.15407410585894,34.03099037370144]}"
90,5186,7.104776382446289,"{""type"":""Point"",""coordinates"":[-118.15240703896602,34.01120510648503]}"
91,5187,1.452921986579895,"{""type"":""Point"",""coordinates"":[-118.20481105581644,34.00097040673798]}"
92,5188,2.2362372875213623,"{""type"":""Point"",""coordinates"":[-118.2045778330817,33.99467721904729]}"
93,5189,3.8690872192382812,"{""type"":""Point"",""coordinates"":[-118.20488514438149,34.000506276291716]}"
94,5190,3.353170871734619,"{""type"":""Point"",""coordinates"":[-118.20392424306084,34.01866307883546]}"
95,5191,3.566563129425049,"{""type"":""Point"",""coordinates"":[-118.20715179210197,34.03970274961177]}"
96,5192,3.704791784286499,"{""type"":""Point"",""coordinates"":[-118.2281834669586,34.065325074012044]}"
97,5193,3.8311424255371094,"{""type"":""Point"",""coordinates"":[-118.23173138568605,34.06040454336432]}"
98,5194,7.461434364318848,"{""type"":""Point"",""coordinates"":[-118.23138483850657,34.05447967380955]}"
