system:index,id,mean,.geo
0,6121,1.1883339881896973,"{""type"":""Point"",""coordinates"":[-121.24295721955816,38.70436729241192]}"
1,6122,1.1883431673049927,"{""type"":""Point"",""coordinates"":[-121.24370319839198,38.704711743990984]}"
2,6123,36.1869010925293,"{""type"":""Point"",""coordinates"":[-120.62203568876824,38.79474070860486]}"
3,6124,9.604092597961426,"{""type"":""Point"",""coordinates"":[-120.78893631169974,38.763446241814]}"
4,6125,34.95690155029297,"{""type"":""Point"",""coordinates"":[-120.7876372337302,38.761982937301674]}"
5,6126,11.928020477294922,"{""type"":""Point"",""coordinates"":[-120.90173136674336,38.73073563343396]}"
6,6127,1.5074564218521118,"{""type"":""Point"",""coordinates"":[-121.47589995749226,38.721915778208526]}"
7,6128,3.6548514366149902,"{""type"":""Point"",""coordinates"":[-121.21503279553193,38.71628874991954]}"
8,6129,2.551705837249756,"{""type"":""Point"",""coordinates"":[-121.3466752520328,38.76361167162432]}"
9,6130,1.5080068111419678,"{""type"":""Point"",""coordinates"":[-121.34642849007209,38.763610038422]}"
10,6131,1.5079301595687866,"{""type"":""Point"",""coordinates"":[-121.25799671932104,38.75785409229514]}"
11,6132,2.202200412750244,"{""type"":""Point"",""coordinates"":[-121.23179857320993,38.72846540799086]}"
12,6133,4.39838981628418,"{""type"":""Point"",""coordinates"":[-121.26340943179038,38.75516481394129]}"
13,6134,3.681098222732544,"{""type"":""Point"",""coordinates"":[-121.2683872594913,38.74547266010498]}"
14,6135,3.681098222732544,"{""type"":""Point"",""coordinates"":[-121.26846495255172,38.745491337538766]}"
15,6136,3.0231313705444336,"{""type"":""Point"",""coordinates"":[-121.26822094227276,38.745097054042]}"
16,6137,2.3767166137695312,"{""type"":""Point"",""coordinates"":[-121.27141401563671,38.73636385765029]}"
17,6138,3.02327299118042,"{""type"":""Point"",""coordinates"":[-121.28474733618403,38.76667205844328]}"
18,6139,5.093209743499756,"{""type"":""Point"",""coordinates"":[-121.2655546057119,38.76174438408972]}"
19,6140,6.538246154785156,"{""type"":""Point"",""coordinates"":[-121.30501477190496,38.77172682900134]}"
20,6141,2.3705317974090576,"{""type"":""Point"",""coordinates"":[-121.38962550203351,38.54962284516956]}"
21,6142,1.5046910047531128,"{""type"":""Point"",""coordinates"":[-121.35456480304326,38.50944012459121]}"
